item_uuid,item_name,canonical_id,canonical_leader,canonical_member
65d7fd3c-24cc-47b8-b363-49f8f1d886ff,I Heart Prosecco 75 cL,10827.0,i heart prosecco wine 750 ml,i heart prosecco 75 cl
65d07808-dfd2-4824-a5a5-6da32852c56d,co op fairbourne springs still mineral water 2ltr,4787.0,co-op fairbourne spring still mineral water 2 l,co op fairbourne spring still mineral water 2ltr
65c6c4e8-ab89-5c25-8467-ca2e17299164,co op choc/van cupcakes 4pk 4pk,4771.0,co-op chocolate & vanilla cupcakes 4 units,co op chocvan cupcake 4pk 4pk
65bcee34-8603-4a16-90ed-dde7d0965e36,E&J Brandy 35cl,6715.0,e&j brandy 350 ml,ej brandy 35cl
65a1caf6-d1db-571e-a5d2-f8c0e6fa1ba1,pot noodle chicken & mushroom 90g,18451.0,pot noodle chicken mushroom 90 g,pot noodle chicken mushroom 90g
659b4717-4dbc-51ef-94dc-10d80378c69b,carling 4pk 4x500ml,375.0,carling 4 x 500 ml,carling 4pk 4x500ml
6599a2b3-58a3-55f7-96be-91a8d5e7d5f0,mudhouse sauvignon blanc 75cl,16067.0,mudhouse sauvignon blanc rose 75cl,mudhouse sauvignon blanc 75cl
65999f3a-0955-5111-8f01-69a8ffd84220,Milky Way® 21.5g,15500.0,milkyway 21.5g,milky way 21.5g
65910581-e9d1-443b-baff-ba0e69784a57,Kelloggs Coco Pops 480g,12242.0,kellogs white coco pop 480 g,kellogg coco pop 480g
658981ef-5af9-4fb1-8689-884464fb968f,Yellow Tail Jammy Red Roo,26411.0,yellow tail jammy red roo,yellow tail jammy red roo
658963ce-1b0b-4075-b9f7-bacca5a66302,Gourmet Perle Cat Food Mini Fillets Chicken in Gravy 85g,8854.0,purina gourmet mon petit perle chicken in gravy mini fillets 85 g,gourmet perle cat food mini fillet chicken in gravy 85g
65887481-4167-4927-8cce-0c6b49ac25db,Swedish Fish Assorted,22387.0,swedish fish assorted,swedish fish assorted
6582f46d-7f96-5d5e-847f-339a22133808,caprisun blackcurrant 4pk 4x200ml,3926.0,capri-sun blackcurrant juice 4 x 200 ml,caprisun blackcurrant 4pk 4x200ml
657c075d-e572-4da7-ae36-71561536f35e,Snickers Chocolate Duo Bar 83.4g,21119.0,snickers duo chocolate bar 83.4 g,snicker chocolate duo bar 83.4g
6573ab63-e706-5ddf-a307-2d2603545325,Robinsons Orange 1L,19821.0,robinsons orange juice 1 l,robinson orange 1l
65632982-4485-52a5-8793-8b3c74191183,nestle crunch milk pm 1 100g,16380.0,nestle crunch pm 1 100g,nestle crunch milk pm 1 100g
656013c2-199b-5985-9e8c-1df933cdad6b,co op british 6 free range medium eggs 6pk,4743.0,co-op free range medium egg 6 units,co op british 6 free range medium egg 6pk
655bdfda-aaa7-5bb8-b5c0-862af83fc030,Ben & Jerry's Chocolate Fudge Brownie Ice Cream 465 Ml,2654.0,ben & jerry's choc fudge brownie ice 465 ml,ben jerry chocolate fudge brownie ice cream 465 ml
655bdfac-0720-5c20-9800-627ad61a19ec,peperami original 22.5g,17561.0,pepperami original 22.5 g,peperami original 22.5g
655b241c-fdbc-41cf-882b-0bfea8fb51f0,Just Juice Apple 1L,12071.0,just juice apple juice 1 l,just juice apple 1l
65570267-4902-4eab-9c69-f15e4f7a59c7,Haagen Dazs Vanilla Tub 460ml,9457.0,häagen-dazs vainilla ice cream 460 ml,haagen dazs vanilla tub 460ml
654535e4-a600-5a2d-a32d-d9e5fb680f1c, ice cubes 2kg,10878.0,the ice co. ice cube 2 kg,ice cube 2kg
653f2e3f-3726-55c0-aa88-e985d4640eb7,MCVITIES MILK CHOCOLATE DIGESTIVES 266G,15119.0,mcvities milk chocolate digestive 266g pm,mcvities milk chocolate digestive 266g
653bfea9-6146-510f-9867-369e023e7f87,co op thick bleach lime 750ml,5347.0,co-op thick bleach lime 750 ml,co op thick bleach lime 750ml
653a5fe9-59cb-4e45-a920-bebd05d0054a,smirnoff ice original  70cl,20949.0,smirnoff ice vodka original 700 ml,smirnoff ice original 70cl
6538aeaa-33b0-4cc2-8a1c-6d7c25b33713,PEPSI MAX CHERRY 2L,17619.0,pepsi max cherry cola 2 l,pepsi max cherry 2l
65333e53-48ed-4717-8c64-e4e3a6694feb,Heinz Big Soup Chicken & Vegetable 400g,10788.0,heinz chicken & vegetables big soup 400 g,heinz big soup chicken vegetable 400g
65315836-5dd7-4602-b982-6256e5550bb9,Brewdog Hazy Jane 4PK,3061.0,brewdog hazy jane 4 x 330 ml,brewdog hazy jane 4pk
652f52a6-91c3-4f0c-a33f-c8aa7242e625,ANCHOR BUTTER 250g,1299.0,anchor butter block 250 g,anchor butter 250g
652be1a6-bf50-5e18-91eb-d76ab26053ea,dr pepper reg 2ltr,6431.0,dr pepper soda 2 l,dr pepper reg 2ltr
6523b2c7-f4c8-46b5-b964-f7453b8fa0d0,Yellow Tail Shiraz,26431.0,yellow tail shiraz,yellow tail shiraz
6521d5e5-f766-4012-9ea1-5db672e0794c,Butterkist Cinema Sweet Popcorn 76g,3286.0,butterkist cinema sweet popcorn 76 g,butterkist cinema sweet popcorn 76g
651f7a8e-693a-4f30-8bc2-2ba720178efe,Doritos Cool Original,6329.0,doritos cool original chips  1 unit,doritos cool original
651b0296-a419-5326-a86b-9fbb9e61dfe6,thornton caramel shortcake bites 8pk 8pk,23224.0,thornton caramel shortcake bite 8 units,thornton caramel shortcake bite 8pk 8pk
