group_id,leader,member,modify_leader,image_url
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero milk chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/57577736baaba7a79f1dbe35bb5c44a9/859baff1d76042a45e319d1de80aec7a.jpeg
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero orange chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/59587348d5f6532aa4896a587eb397d2/859baff1d76042a45e319d1de80aec7a.jpeg
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero peppermint mint chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/5c58f0aa7395e1370d5b04e529501c34/859baff1d76042a45e319d1de80aec7a.jpeg
509,aero mint,aero mint ,No,https://d1ralsognjng37.cloudfront.net/7d755696-ddc0-4733-96fa-2cf0238c627d.jpeg
3890,birra moreti 4330ml glass bottle pack,birra moretti 4x330ml bottle pack,No,https://tb-static.uber.com/prod/image-proc/processed_images/d4c9a351d9d6292d5dc1889cd84fa5dd/859baff1d76042a45e319d1de80aec7a.jpeg
5279,butterkist popcorn sweet 50g,butterkist popcorn sweet 50g,Yes,https://d1ralsognjng37.cloudfront.net/e4da9f59-192a-4352-bed7-4ee98b077e42.jpeg
6223,cadbury dairy milk little bar,cadbury dairy milk bar ,No,https://d1ralsognjng37.cloudfront.net/6867e37f-9f94-43ee-b11f-0ab54c59b10c.jpeg
6031,cadbury oreo,cadbury oreo ,No,https://d1ralsognjng37.cloudfront.net/45080dca-ad34-431f-8ea7-51a3308150af.jpeg
6768,carex hand wash aloe,carex hand wash aloe ,No,https://d1ralsognjng37.cloudfront.net/2561214f-69ec-4386-a1af-51b95e537c66.jpeg
8386,co op british beef mince 20 % fat 500g,co op british beef mince 20 % 500ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/5eb8021c2c3417556df47c82b478ba9f/b4facf495c22df52f3ca635379ebe613.jpeg
