group_id,leader,member,modify_leader,image_url
13280,domestos thick bleach pink pm 1 750ml,domestos thick bleach pink pm 1 750ml,Yes,
13337,doritos cool heatwave,doritos chilli heatwave ,No,https://tb-static.uber.com/prod/image-proc/processed_images/0061a7df7e4a4e08197e3835e661cf47/859baff1d76042a45e319d1de80aec7a.jpeg
13353,doritos cool original small,doritos cool orginal ,No,
13433,doritos tangy cheese crisps 150 g,doritos tangy cheese 80g ,No,
13447,dorset cereal classic fruit nut and seed muesli,dorset cereal classic fruit nut and seed muesli,Yes,
13509,dove original 48h 250ml,dove original 48h 250ml,Yes,https://d1ralsognjng37.cloudfront.net/7f4dd228-49eb-40b1-8ac8-5454f9057aba.jpeg
13512,dove original moisturizing cream antiperspirant 50ml,dove original moisturizing cream antiperspirant 50ml,Yes,
13530,dr oetker 100 1000,dr oetker 100 1000,Yes,https://d1ralsognjng37.cloudfront.net/b9c2fedd-1e09-4836-beb3-6a60fb86fd53.jpeg
13552,dr pepper 6pk,dr pepper 6pk,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7dcc05bd049b98c6f7fd0d4825e1b054/4218ca1d09174218364162cd0b1a8cc1.jpeg
13572,dr pepper reg ,dr pepper reg ,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/107dd36b8d0b33373b773347d260b20b/859baff1d76042a45e319d1de80aec7a.jpeg
13577,dr pepper reg  500ml btl,dr pepper regular bottle 500ml,No,
13631,dr. oetker ristorante pizza mozzarella 320g,dr. oetker ristorante pizza mozzarella 320 gram,No,
13822,duracell plus aa battery pack of 4,duracell plus aa battery pack of 4,Yes,
13847,durex pleasure me condom,durex pleasure me condom,Yes,
13851,durex thin feel condom 6 pack,durex thin feel condom 6 pack,Yes,
13862,duzzit soapfilled scouring pad,duzzit soapfilled scouring pad,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cf425dc102ac379cb6372b443818fa2e/859baff1d76042a45e319d1de80aec7a.jpeg
27453,e chocolate chip cooky 150g p,e chocolate chip cooky 150g,No,
13894,e orange juice from concentrate,e mango juice from concentrate pm,No,https://tb-static.uber.com/prod/image-proc/processed_images/19411513233f9f7b396e5e478537d66f/b4facf495c22df52f3ca635379ebe613.jpeg
13923,eagle waggle dance 500ml,eagle waggle dance 500ml,Yes,https://d1ralsognjng37.cloudfront.net/45a39d3f-f754-474e-ae04-3263c4858e5b.jpeg
13979,eat real hummus chip chilli and lemon,eat real hummus chip chilli and lemon,Yes,
32473,eazy pop microwave popcorn salted 85 g,eazy pop salted microwave popcorn 85g,No,
14010,eazy pop salted 90g,eazy pop salted 90g,Yes,https://d1ralsognjng37.cloudfront.net/8f83f2ac-bc69-4af8-9056-ac6a5f268f8a.jpeg
14038,echo fall pink gin 37.5 % 70cl,echo fall pink gin 37.5 % 70cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d75e003a717abface9cf1fe88bc49fdb/859baff1d76042a45e319d1de80aec7a.jpeg
14081,echo fall rosè wine,echo fall wine,No,
14249,ej original brandy 70cl,ej original brandy 70cl,Yes,
14269,element rice cigarette rolling paper king slim with tip,element rice cigarette rolling paper king slim with tip,Yes,
14282,elf bar 600 blueberry,elf bar 600 blueberry,Yes,
14412,elf bar 600 disposable vape pineapple peach mango 1 unit,elfbar 600 disposable pod pineaple peach mango,No,
14312,elf bar banana ice disposable,elf bar banana ice disposable,Yes,
44044,elf bar blueberry sour raspberry disposable vape,elf bar blueberry raspberry disposable,No,
14354,elf bar elfbull strawberry,elf bar elfbull strawberry,Yes,
14380,elf bar pink lemonade disposable,elf bar pink lemonade disposable,Yes,
14396,elf bar strawberry kiwi disposable,elf bar strawberry ice cream disposable,No,
14408,elfbar 600 disposable pod bluberry sour rashberry,elfbar 600 disposable pod bluberry sour rashberry,Yes,
14411,elfbar 600 disposable pod peach ice,elfbar 600 disposable pod peach ice,Yes,
14413,elfbar 600 disposable pod strawberry kiwi,elfbar 600 disposable pod strawberry kiwi,Yes,
14433,ellas kitchen chicken casserole 130g,ellas kitchen chicken rice casserole 130g,No,
14437,ellas kitchen strawberry and apple 4 plus month 120g,ellas kitchen strawberry and apple 4 plus month 120g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/edf39517d7fac8d2eafb0bb41e8ec8a6/859baff1d76042a45e319d1de80aec7a.jpeg
14449,elmlea aerosol 250ml,elmlea aerosol 250ml,Yes,https://d1ralsognjng37.cloudfront.net/f8ec104d-69c9-4aa4-ae51-04a772e7d841.jpeg
14466,elmlea whipped squirty 245ml,elmlea whipped squirty 245ml,Yes,https://d1ralsognjng37.cloudfront.net/59655aae-0e5f-44b1-90ab-e809e24dc0f4.jpeg
14590,encona thai sweet chilli 142ml,encona thai sweet chilli 142ml,Yes,
14949,extra refresher peppermint sugar free chewing gum handy box,extra refresher peppermint sugar free chewing gum handy box,Yes,https://d1ralsognjng37.cloudfront.net/9d9388d3-2e53-42c8-ac56-32c98e9d3b40.jpeg
15105,fairyy fabric softener original 630ml,fairyy fabric softener original 630ml,Yes,
15142,fanta berry usa 355ml,fanta berry usa 355ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/19f250b84e00ae8e98e4bac1e6ebf26f/4218ca1d09174218364162cd0b1a8cc1.jpeg
15255,fanta grape usa 355ml,fanta peach usa 355ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/4ba68cfc1366497b4ee71e5314206291/4218ca1d09174218364162cd0b1a8cc1.jpeg
15191,fanta green apple 355ml,fanta green apple soda 355ml,No,https://d1ralsognjng37.cloudfront.net/3702e48d-87ba-423e-8b17-e552e6030c67.jpeg
15198,fanta lemon 2litre,fanta lemon 2litre,Yes,
15224,fanta orange,fanta orange ,No,https://tb-static.uber.com/prod/image-proc/processed_images/1faa1149b34cb94ec089685b4029045c/b4facf495c22df52f3ca635379ebe613.jpeg
15228,fanta orange 2litre,fanta orange 2litre,Yes,
15246,fanta orange zero,fanta orange zero ,No,
15291,fanta zero orange 2l,fanta orange 2l ,No,https://d1ralsognjng37.cloudfront.net/dd9b2631-0cd1-43a5-9c8a-f8676b843851.jpeg
42753,fariy original washing up liquid lemon 433 ml,washing up liquid original 433ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/6abec7d383f3eb5218f653f9b1c89b5f/859baff1d76042a45e319d1de80aec7a.jpeg
15300,farley rusk 18,farley rusk 18,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9458e80d56173bea7bdf564ea813251c/859baff1d76042a45e319d1de80aec7a.jpeg
15385,fat bastard cabernet sauvignon,fat bastard cabernet sauvignon,Yes,
15457,felix agail beef ,felix agail beef ,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3ef54b53713af77f397f7becdd4e316a/f0d1762b91fd823a1aa9bd0dab5c648d.jpeg
15483,felix crispies beef chicken 45g for cat,felix crispies beef chicken 45g for cat,Yes,https://d1ralsognjng37.cloudfront.net/f55d1095-17e3-4cb4-acc1-83bf6f08c6af.jpeg
15502,felix original mixed selection in gravy 12x100g,felix original mixed selection in gravy 12x100g,Yes,https://d1ralsognjng37.cloudfront.net/63a270ec-567f-43dc-b5ac-690461ab1cf6.jpeg
15539,ferrero rocher,ferrero rocher 8,No,
