group_id,leader,member
24060,nestle aero giant orange pm 1,nestle aero giant orange pm 1
24061,nestle aero giant peppermint pm 1,nestle aero giant peppermint pm 1
24062,nestle aero intense orange 90g,aero intense orange 90g
24062,nestle aero intense orange 90g,nestle aero intense orange 90g
24063,nestle aero milk ,nestle aero milk 
24064,nestle aero milk pm 1 90g,nestle aero milk pm 1 90g
24065,nestle aero orange ,aero intense orange
24065,nestle aero orange ,nestle aero orange 
24066,nestle aero orange pm 1 90g,nestle aero orange pm 1 90g
24067,nestle aero peppermint ,nestle aero peppermint 
24068,nestle aero peppermint 36g,nestle aero peppermint 36g
24069,nestle aero peppermint bubble 80g,nestle aero peppermint bubble 80g
24070,nestle aero peppermint bubble pouch pm 1,nestle aero peppermint bubble pouch 
24070,nestle aero peppermint bubble pouch pm 1,nestle aero peppermint bubble pouch 1
24070,nestle aero peppermint bubble pouch pm 1,nestle aero peppermint bubble pouch pm 1
24071,nestle aero peppermint bubble pouch pm 1 80g,nestle aero peppermint bubble pouch pm 1 80g
24072,nestle aero peppermint pm 1 90g,nestle aero peppermint pm 1 90g
24073,nestle after eight mint 300 g,nestle after eight mint 300 g
24074,nestle blue riband org 108g,nestle blue riband org 108g
24075,nestle breackaway,nestle breackaway
24076,nestle caramac,nestle caramac
24077,nestle caramac 30g,nestle caramac 30g
24078,nestle carnation condensed milk 397g,397 g carnation condensed milk
24078,nestle carnation condensed milk 397g,carnation condensed milk 397g
24078,nestle carnation condensed milk 397g,carnation sweetened condensed milk 397g
24078,nestle carnation condensed milk 397g,carnation sweetened condensed milk 397g tin
24078,nestle carnation condensed milk 397g,nestle carnation condensed milk 397g
24079,nestle carnation evaporated milk,nestle carnation evaporated milk
24080,nestle carnation evaporated milk 410g,410 g nestle evaporated carnation milk
24080,nestle carnation evaporated milk 410g,carnation evaporated milk 410g
24080,nestle carnation evaporated milk 410g,carnation evaporated milk 410g tin
24080,nestle carnation evaporated milk 410g,nestle carnation evaporated milk 410 g
24080,nestle carnation evaporated milk 410g,nestle carnation evaporated milk 410g
24082,nestle cheerio 370g,nestle cheerio 370g
24084,nestle cheerio 390g,nestle cheerio 390g
24086,nestle coffee mate light 200g,nestle coffee mate 200 g
24086,nestle coffee mate light 200g,nestle coffee mate 200g
24086,nestle coffee mate light 200g,nestle coffee mate light 200g
24087,nestle coffeemate original 200g,coffee mate original 200g
24087,nestle coffeemate original 200g,coffeemate original 200g
24087,nestle coffeemate original 200g,nestle coffeemate original 200g
24088,nestle condensed milk,nestle condensed milk
24089,nestle cookie crisp 375g,nestl cookie crisp 375g
24089,nestle cookie crisp 375g,nestle cookie crisp 375g
24090,nestle cookie crisp chocolatey chip cookie cereal 375g,nestle cookie crisp chocolatey chip cookie cereal 375g
24093,nestle crunch cocoa plan,nestle crunch cocoa plan
24095,nestle crunch pm 1,nestle crunch
24095,nestle crunch pm 1,nestle crunch pm
24095,nestle crunch pm 1,nestle crunch pm 1
24096,nestle crunch pm 1 100g,nestle crunch 100g
24096,nestle crunch pm 1 100g,nestle crunch 100g pm
24096,nestle crunch pm 1 100g,nestle crunch bar 100g
24096,nestle crunch pm 1 100g,nestle crunch milk pm 1 100g
24096,nestle crunch pm 1 100g,nestle crunch pm 1 100g
24097,nestle crunch white chocolate bar 100g,nestle crunch white chocolate bar 100g
24099,nestle curiously cinnamon cereal 375 g,nestle curiously cinnamon cereal 375 g
24101,nestle dairy box 162g,nestle dairy box 162g
24102,nestle dairy box 180g,nestle dairy box 180g
24103,nestle dairy box 326g,nestle dairy box 326g
24104,nestle dairy box 388g,nestle dairy box 388g
24105,nestle dairy box p,nestle dairy box
24105,nestle dairy box p,nestle dairy box p
24106,nestle fab,nestle fab
24108,nestle fruit pastille lolly 4x65ml,nestle fruit pastille lolly 4x65ml
24111,nestle honey cheerio 375g 2.,nestle cheerio  375g
24111,nestle honey cheerio 375g 2.,nestle cheerio 375g
24111,nestle honey cheerio 375g 2.,nestle cheerio honey 375g pm
24111,nestle honey cheerio 375g 2.,nestle honey cheerio  375g
24111,nestle honey cheerio 375g 2.,nestle honey cheerio 375g 2.
24112,nestle kit kat 4 finger 41.5 g,nestle kit kat 4 finger 41.5 g
24113,nestle kit kat 5 pack pm 1,nestle kit kat 5 pack pm 1
24114,nestle kitkat 4 finger f 1 41.5g,nestle kitkat 4 finger f 1 41.5g
24115,nestle kitkat 41.5g,nestle kitkat 41.5g
24116,nestle kitkat 4finger bar 41.5g,nestle kitkat 4finger bar 41.5g
24117,nestle kitkat 70 % dark 4finger bar 41.5g,nestle kitkat 70 % dark 4finger bar 41.5g
24118,nestle kitkat bite chocolate caramel 90g,nestle kitkat bite chocolate caramel 90g
24119,nestle kitkat bite milk chocolate 90g,nestle kitkat bite milk chocolate 90g
24120,nestle kitkat chunky 40g,nestle kitkat chunky 40g
24121,nestle kitkat chunky coolie dough 42g,kit kat chunky cookie dough 42g
24121,nestle kitkat chunky coolie dough 42g,nestle kitkat chunky cookie dough 42g
24121,nestle kitkat chunky coolie dough 42g,nestle kitkat chunky coolie dough 42g
24122,nestle kitkat chunky duo 64g,nestle kitkat chunky duo 64g
24123,nestle kitkat chunky peanut butter 42g,42 g kit kat chunky peanut butter
24123,nestle kitkat chunky peanut butter 42g,kit kat chunky peanut butter 42g
24123,nestle kitkat chunky peanut butter 42g,kit kat chunky peanut butter 42g 2 for 
24123,nestle kitkat chunky peanut butter 42g,nestle kitkat chunky peanut butter 42g
24124,nestle lion bar 4 pack,nestle lion bar 4 pack
24126,nestle lion bar white duo 60g,nestle lion bar duo 60g
24126,nestle lion bar white duo 60g,nestle lion bar white duo 60g
24127,nestle lion choco bar 50g,nestle lion bar 50g
24127,nestle lion choco bar 50g,nestle lion choco bar 50g
24128,nestle milky bar 40g,nestle milky bar 40g
24129,nestle milky bar 90g pm,nestle milky bar 90g
24129,nestle milky bar 90g pm,nestle milky bar 90g pm
24130,nestle milky bar button 30g,nestle milky bar button 30g
24131,nestle milky bar cooky cream 90g,nestle milky bar cooky and cream 90g
24131,nestle milky bar cooky cream 90g,nestle milky bar cooky cream 90g
24132,nestle milkybar ,nestle milkybar
24132,nestle milkybar ,nestle milkybar 
24133,nestle milkybar block 90g,nestle milkybar 90g
24133,nestle milkybar block 90g,nestle milkybar block 90g
24134,nestle milkybar block pm 1,nestle milkybar block pm 1
24136,nestle milkybar button 85g,nestle milkybar button 85g
24137,nestle milkybar chocolate 90g,nestle milkybar chocolate 90g
24138,nestle milkybar cooky cream bite 73g,nestle milkybar cooky cream bite 73g
24139,nestle milkybar giant pouch pm 1 85g,nestle milkybar giant button pouch pm 1 85g
24139,nestle milkybar giant pouch pm 1 85g,nestle milkybar giant pouch pm 1 85g
24140,nestle milkybar mix ups pouch ,nestle milkybar mix ups pouch 
24141,nestle milkybar mix ups pouch  78g,nestle milkybar mix ups pouch  78g
24142,nestle milkybar piece bag  12g,nestle milkybar piece bag  12g
