group_id,leader,member
239,180 g fox chunky milk chocolate cooky,180 g fox chunky milk chocolate cooky
247,187 ml hidden road pinot grigio,187 ml hidden road pinot grigio
250,189 g cadburys hero,189 g cadburys hero
251,19 crime,19 crime
252,19 crime 2020 red 750ml,19 crime 2020 red 750ml
254,19 crime cabernet sauvignon,19 crime cabernet sauvignon
256,19 crime red,19 crime red
258,19 crime revolutionary ro 750ml,19 crime revolutionary ro 750ml
260,19 crime sauvignon block 75cl,19 crime cab sauvignon 75cl
260,19 crime sauvignon block 75cl,19 crime sauv blanc 75cl
260,19 crime sauvignon block 75cl,19 crime sauv block 750ml
260,19 crime sauvignon block 75cl,19 crime sauv block 75cl
260,19 crime sauvignon block 75cl,19 crime sauvignon block
260,19 crime sauvignon block 75cl,19 crime sauvignon block 75cl
261,19 crime the banished dark red wine,19 crime the banished dark red wine
262,19 crime the banished red 75cl,19 crime the banished red 75cl
263,19 crime the deported 75cl,19 crime the deported
263,19 crime the deported 75cl,19 crime the deported 75cl
265,19 crime the uprising part aged in rum barrel 75cl,19 crime the uprising part aged in rum barrel 75cl
266,19 crime the uprising red wine 75cl,19 crime the uprising
266,19 crime the uprising red wine 75cl,19 crime the uprising 75cl
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine 750ml
266,19 crime the uprising red wine 75cl,19 crime the uprising red wine 75cl
267,19 crime white chard 75cl,19 crime chard
267,19 crime white chard 75cl,19 crime chard 750ml
267,19 crime white chard 75cl,19 crime chard 75cl
267,19 crime white chard 75cl,19 crime chardonnay
267,19 crime white chard 75cl,19 crime chardonnay 70cl
267,19 crime white chard 75cl,19 crime chardonnay 750ml
267,19 crime white chard 75cl,19 crime chardonnay 75cl
267,19 crime white chard 75cl,19 crime white chard 75cl
269,19 crime wine 70cl 19 crime red wine,19 crime wine 70cl 19 crime red wine
270,19 crines red wine 75cl,19 crime red 75cl
270,19 crines red wine 75cl,19 crime red vine 75cl
270,19 crines red wine 75cl,19 crime red wine
270,19 crines red wine 75cl,19 crime red wine 750ml
270,19 crines red wine 75cl,19 crime red wine 75cl
270,19 crines red wine 75cl,19 crime rose wine 75cl
270,19 crines red wine 75cl,19 crime wine 70cl
270,19 crines red wine 75cl,19 crines red wine 75cl
271,190 g 6 pk kellogg variety cereal pack,190 g 6 pk kellogg variety cereal pack
272,190 g box of cadburys rose chocolate,190 g box of cadburys rose chocolate
277,19crimes red wine 750ml,19crimes red wine 750ml
278,1cadburys button 95g,1cadburys button 95g
