item_uuid,item_name,canonical_id,canonical_leader,canonical_member
d532632a-f9ad-5801-8ab8-43f17262c678,Queso Turrialba Dos Pinos 500 G 6540 ,34221.0,dos pinos queso fresco y suave tipo turrialba empaque 500 g,queso turrialba do pinos 500 g 6540
d523cf0c-efbe-5cf7-8852-6e6e067013c2,Fresco Leche Vainilla Dos Pinos 250 Ml 7010 ,33983.0,dos pinos fresco leche sabor vainilla 250 ml,fresco leche vainilla do pinos 250 ml 7010
d51dae74-c235-5030-98e1-dcab5f2636d0,Queso Crema Dos Pinos 350 G 7370 ,34215.0,dos pinos queso crema original pote 350 g,queso crema do pinos 350 g 7370
d50d734b-972a-5a03-ae4c-946c34aba987,Fresco Leche Fresa Dos Pinos 1 L 8351 ,33979.0,dos pinos fresco leche sabor fresa 1 l,fresco leche fresa do pinos 1 l 8351
d4fbd844-6655-5c66-8842-b11f41cd154c,Natilla Delactomy Dp Dos Pinos 400 G 4996 ,34157.0,dos pinos natilla liviana delactomy doypack 400 g,natilla delactomy dp do pinos 400 g 4996
d4f62cf8-e11e-5830-99f8-72e4b8d0701b,Leche Pinito Líquida Dos Pinos 1 L 1118 ,34128.0,dos pinos leche pinito caja 1 l,leche pinito lquida do pinos 1 l 1118
d4f341b7-1300-55db-ad6c-821163b973ef,Mantequilla Dos Pinos 115 G 5048 ,34140.0,dos pinos mantequilla con sal barra 115 g,mantequilla do pinos 115 g 5048
d4f00112-d207-52e0-88ce-973b31bc8d8f,Helado Guayabita Dos Pinos 530 G 0942 ,34004.0,dos pinos helado guayabita  pote 530 g,helado guayabita do pinos 530 g 0942
d4e8df0d-df38-539e-8060-a32241ceaa06,Jugo Naranja Dos Pinos 1 L Tb 9007 ,34074.0,dos pinos jugo de naranja caja 1 l,jugo naranja do pinos 1 l tb 9007
d4e815e1-b041-51a7-9e4c-7fc1e6380e08,Néctar Mixto Frutas Dos Pinos 200 Ml 3264 ,34173.0,dos pinos néctar mixto de frutas cartón 200 ml,nctar mixto frutas do pinos 200 ml 3264
d4d0955c-b555-5910-9338-b7c5ef45dbcc,Chocolate Guayabita Gallito 35 G 0293 ,34309.0,gallito chocolate guayabita 35 g,chocolate guayabita gallito 35 g 0293
d4c615e3-de94-5737-ad04-d1d75db84ed6,Bebida Iced Mocca Dos Pinos 250 Ml 4012 ,33946.0,dos pinos bebida iced mocca britt 250 ml,bebida iced mocca do pinos 250 ml 4012
d49eeb14-fbb4-5a6f-85fa-a535cd2906e3,Helado Mmmio Barra Dos Pinos 70  G 0684 ,34147.0,dos pinos mm mio barra 70 g,helado mmmio barra do pinos 70 g 0684
d47f8e34-0519-5309-b251-6f16c9ef0c0f,Natilla Zarcero Dp 400 G 1031 ,34478.0,zarcero natilla liviana con sal doypack 400 g,natilla zarcero dp 400 g 1031
d47b3413-f40a-585d-8416-00faaac9ed77,Helado Choco Almendra Dos Pinos 530 G 4278 ,33989.0,dos pinos helado chocolate almendra pote 530 g,helado choco almendra do pinos 530 g 4278
d476e35d-efb1-57af-b60c-de369b4f654c,Fresco Leche Vainilla Dos Pinos 250 Ml 7010 ,33983.0,dos pinos fresco leche sabor vainilla 250 ml,fresco leche vainilla do pinos 250 ml 7010
d474e9ff-456e-540c-a094-44e4d300269c,Helado Paleta Cero Dos Pinos 75 G 0097 ,34179.0,dos pinos paleta cero grados 76 g,helado paleta cero do pinos 75 g 0097
d45ea939-ebc6-5e23-a0aa-3c6853207787,Rompope Dos Pinos 250 Ml 3012 ,34244.0,dos pinos rompope cartón 250 ml,rompope do pinos 250 ml 3012
d45baffa-3d50-5fb2-b3f7-5181cfe8fec6,Leche Con Avena Dos Pinos 250 Ml 3173 ,34095.0,dos pinos leche con avena caja 250 ml,leche con avena do pinos 250 ml 3173
d4518d9e-82fd-57a9-9cfc-426d5ebdefbc,Yogurt Fresa/Arroz Lula Dos Pinos 118 G 9571 ,34382.0,lula yogurt de fresa con topping de arroz sabor chocolate pote 118 g,yogurt fresaarroz lula do pinos 118 g 9571
d43f424d-bc1c-5b38-a00d-c79147c63ea5,Helado Choco Almendra Dos Pinos 530 G 4278 ,33989.0,dos pinos helado chocolate almendra pote 530 g,helado choco almendra do pinos 530 g 4278
d4369897-873e-5be3-a117-3a16822a513e,Leche Delactomy Fresa Dos Pinos 250 Ml 7348 ,34105.0,dos pinos leche delactomy fresa caja 250 ml,leche delactomy fresa do pinos 250 ml 7348
d41bd1fd-a17b-5ffb-93ce-c5df0d53e175,Leche Evaporada Dos Pinos 250 Ml 0814 ,34123.0,dos pinos leche evaporada caja 250 ml,leche evaporada do pinos 250 ml 0814
d419fe50-1e4f-5155-9c10-2db70763182e,Queso Semiduro Zarcero 300 G 3189 ,34487.0,zarcero queso semiduro empaque 300 g,queso semiduro zarcero 300 g 3189
d416515d-edb5-5e25-8e40-2ffb5820cf1b,Natilla Con Sal Zarcero 300 G 5848 ,34475.0,zarcero natilla liviana con sal bolsa 300 g,natilla con sal zarcero 300 g 5848
d40d65ec-57aa-5590-b5bf-5199a5718300,Queso Tico Rebanado Dos Pinos 12 Uds 9786 ,34236.0,dos pinos queso tico rebanado bolsa 240 g - 12 rebanadas,queso tico rebanado do pinos 12 uds 9786
d3fd528f-8a45-56f6-9e0f-0c1bcf3a7ef0,Queso Crema Dos Pinos 100 G 6069 ,34213.0,dos pinos queso crema original pote 100 g,queso crema do pinos 100 g 6069
d3eaf410-e47a-53a3-b6ea-0264d2949e3e,Natilla Con Sal Zarcero 300 G 5848 ,34475.0,zarcero natilla liviana con sal bolsa 300 g,natilla con sal zarcero 300 g 5848
d3e2fb88-8f94-55a5-9c41-464344218184,Queso Crema Dos Pinos 210 G 7363 ,34214.0,dos pinos queso crema original pote 210 g,queso crema do pinos 210 g 7363
d3d94592-c498-5f87-9e53-027fc218b2f9,Dip Jamón Serrano Dos Pinos 210G 0621 ,33971.0,dos pinos dip jamónn serrano 210 g,dip jamn serrano do pinos 210g 0621
