item_uuid,item_name,canonical_id,canonical_leader,canonical_member
6c038aa3-1131-52a0-8037-776298949d12,Walkers Crisps Ready Salted (6x25g packs),24926.0,walker crisp ready salted 6 x 25 g,walker crisp ready salted 6x25g pack
6c0322f0-eb37-40d4-a81a-4aa3055de79a,Casillero Del Diablo Merlot,4129.0,casillero del diablo merlot,casillero del diablo merlot
6c030f7b-c45e-4504-b044-bbfb53bafa23,REESE'S OVERLOAD (42G),32393.0,reeses overload 42g,reeses overload 42g
6c01b46b-90fb-42c8-80fc-767a6c764e3f,ELF BAR CHERRY,6949.0,elf bar disposable puff cherry cola 1 unit,elf bar cherry
6c00447a-8048-51b5-8284-362ce3504a4e,Trebor Ex Strong Mint Roll   (40 G),23504.0,trebor extra strong mint roll 40 g,trebor ex strong mint roll 40 g
6bf942cc-af79-51cb-85d4-1b9dfa65bf99,Sterling New KS Dual Capsule (T and T) 20S,21842.0,sterling new king size dual capsule tt cigarettes 20 units,sterling new k dual capsule t and t 20
6bf6e30a-7212-58c2-8804-574a5ea4555d,I Heart Shiraz (75 cL),10847.0,i heart shiraz red wine 750 ml,i heart shiraz 75 cl
6bf11026-21a2-4b6d-af0a-fe0c2444ad2b,CO OP NAS LIME CORDIAL 1LTR,13594.0,lime cordial 1ltr,co op na lime cordial 1ltr
6beeab9a-0563-4da8-ac1a-4f505c4fc45f,LUCOZADE ENERGY ORIGINAL (900ML),13962.0,lucozade energy original 900ml,lucozade energy original 900ml
6be94d79-b70b-5930-b18b-c22b3e4877b3,Evian Mineral Water (1.5 L),7219.0,evian mineral water 1.5 l,evian mineral water 1.5 l
6be4b154-43a4-5a6d-99d8-40133f459f63,Yorkshire Tea 80S,26574.0,yorkshire tea 80 bag,yorkshire tea 80
6be27304-63eb-43a9-8462-20c3c2e8479a,STARBUCKS FRAPPUCCINO COFFEE 250ML,21524.0,starbucks frappuccino coffee 250 ml,starbucks frappuccino coffee 250ml
6be03016-813f-5c24-97dc-a8f544e74583,Doritos Tangy Cheese (150G),6347.0,doritos tangy cheese crisps 150 g,doritos tangy cheese 150g
6bd9596c-c1f5-42df-8f57-024094f51a79,Doritos Flamin Hot 70G,29537.0,doritos flamin hot 70g,doritos flamin hot 70g
6bd69047-e905-4ed0-8edd-e32c6d68e009,NURISHMENT VANILLA FLAVOUR 370ML,16569.0,nurishment vanilla 370ml,nurishment vanilla flavour 370ml
6bd600b4-df6d-4856-8c40-d0d8227d3deb,Gillette Shave Foam Reg 6 * 200 mL,8474.0,gillette regular shaving foam 200 ml,gillette shave foam reg 6 200 ml
6bd4c4ba-fddc-52f4-9c49-ce1ae1e77357,Sensations Roast Chicken and Thyme (150G),20536.0,sensation roast chicken & thyme flavour potato crisps 150 g,sensation roast chicken and thyme 150g
6bd211f4-3f12-4e1b-a889-cd9df3fe22fe,Yellow Tail Pinot Grigio,26417.0,yellow tail pinot grigio,yellow tail pinot grigio
6bcceb6a-eb1f-4aea-977e-c78ef05280fc,Cadbury Wispa 4pk,27679.0,cadbury wispa chocolate bar 4 units,cadbury wispa 4pk
6bcb9bce-de4a-4a5b-9445-2325a719fb15,King Pot Noodle Original Curry 114G,18472.0,king pot noodle original curry 114 g,king pot noodle original curry 114g
6bc7eb44-fe55-47cf-b3a4-f06ea8a36f42,Tango Orange (330ml),33211.0,tango original orange soft drink 330 ml,tango orange 330ml
6bc55559-a01a-58cb-9ab6-8b51b77c89d3,Corona Extra Lge Nrb (620ml),29193.0,corona extra lge nrb 630ml,corona extra lge nrb 620ml
6bbcd538-5e4a-4db5-a673-5d47627f36ef,Pringles Prawn Cocktail 165g,18660.0,pringles prawn cocktail flavour sharing crisp 165 g,pringles prawn cocktail 165g
6bb7c0b0-892a-488f-ab50-5d2281e5a081,DAIRYLEA LUNCHABLE CHICKEN & CHEESE (77G),5796.0,dairylea lunchables chicken and cheese 77 g,dairylea lunchable chicken cheese 77g
6bb6872d-f01e-4913-b6a6-c600a5231006,Monster Energy 500ml,23947.0,monster energy 500 ml,monster energy 500ml
6bb4e839-9ff9-5cd3-b27f-4429ffd16e37,Pampers B/Drytaped S6 Pm4.99 4 * 19 S,17259.0,pampers bdrytaped s6  4 19 s,pampers bdrytaped s6  4 19 s
6bb0fe29-2b9f-5247-b3f1-26d75a60ef7e,K Cider 4X500ML,12095.0,k cider 4 x 500 ml,k cider 4x500ml
6bae8594-bd7c-4e20-bd04-8fe35704fbb2,HULA HOOPS BBQ BEEF  70G,11162.0,hula hoop big hoop bbq beef potato rings 70 g,hula hoop bbq beef 70g
6bae20e3-afeb-5be0-8eba-152d64e50c2e,R/Guard Shower Oils Blossom 6 * 250 mL,19460.0,rguard shower oil blossom 6 250 ml,rguard shower oil blossom 6 250 ml
6bad8a10-df79-499b-8ba4-e698eb5da88c,HARDYS VR CHARDONNAY,24612.0,hardy's vr chardonnay,hardy vr chardonnay
6bab5d8a-5eac-5d8b-b2ca-0b3cc709306b,Stella Artois 4.8% LarGe Nrb (660 Ml),21654.0,stella artois beer nrb 4.8% 660 ml large,stella artois 4.8 % large nrb 660 ml
6ba8a49a-810b-42c8-9cd5-2e306cb3017a,CO OP PURE VEGETABLE OIL 1LTR,4846.0,co-op pure vegetable oil 1 l,co op pure vegetable oil 1ltr
