group_id,leader,member,modify_leader,image_url
2436,barefoot pinot grigio 75cl usa,barefoot pink pinot grig 75cl,No,https://tb-static.uber.com/prod/image-proc/processed_images/d036deb0dc9e7d3ef410df8c84b0da6f/859baff1d76042a45e319d1de80aec7a.jpeg
2436,barefoot pinot grigio 75cl usa,barefoot pinot grigio 75cl 5209,No,
2495,barone ricasoli toscana 75cl,barone ricasoli toscana 75cl,Yes,https://d1ralsognjng37.cloudfront.net/9417b040-5605-4757-b163-0ceaec479d5b.jpeg
2496,barossa ink shiraz 75cl,barossa ink shiraz 75cl,Yes,https://d1ralsognjng37.cloudfront.net/f5da6d75-a2cf-409c-8def-a57fe271e36a.jpeg
2497,barossa valley estate grenache shiraz mourvedre 75cl,barossa valley estate grenache shiraz mourvedre 75cl,Yes,https://d1ralsognjng37.cloudfront.net/51578be0-50ab-4d4e-8d29-2ae99c8fbe94.jpeg
2535,barr cream soda,barr creame soda,No,
2536,barr d b,barr d b,Yes,
2540,barr diet lemonade,barr diet lemonade,Yes,
2573,barr raspberryade,barr raspberryade,Yes,
2583,barr shandyade,barr shady,No,
2587,barr tizer,barr tizer,Yes,
2682,batchelors cup a soup minestrone with crouton 4 pack 94g,batchelors cup a soup minestrone with crouton 4 pack 94g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b00c77eabd784679b596c73fb56d7316/859baff1d76042a45e319d1de80aec7a.jpeg
2717,batchelors pasta sauce mac n cheese 99g,batchelors cheese leek ham pasta sauce 99g,No,https://tb-static.uber.com/prod/image-proc/processed_images/e354ae1ba403ad0a1cce7a3a42c64bb2/859baff1d76042a45e319d1de80aec7a.jpeg
2721,batchelors smash the original instant mashed potato 176 g,batchelors smash original instant mash potato 176g,No,https://tb-static.uber.com/prod/image-proc/processed_images/9145378cb7f604eb1ce0f45e24813391/859baff1d76042a45e319d1de80aec7a.jpeg
2737,batchelors super noodle curry 100 g,batchelors super noodle bbq 100g,No,https://tb-static.uber.com/prod/image-proc/processed_images/1a0a6e6f5224ba9e9fb6e2eb7bbca639/859baff1d76042a45e319d1de80aec7a.jpeg
2745,batchlors pasta n sauce chicken mushroom 99g,batchelors chicken mushroom pasta 99g,No,https://tb-static.uber.com/prod/image-proc/processed_images/7ff38bff345cb3baad39009d6e6bd830/859baff1d76042a45e319d1de80aec7a.jpeg
2750,bathtub gin 70cl,bathtub gin 70cl,Yes,https://d1ralsognjng37.cloudfront.net/f1adc6b1-10eb-4361-99d7-ab0a099d9c9e.jpeg
2760,baxters cranberry sauce,baxters cranberry sauce,Yes,
2789,be one slice carrot,be one slice carrot,Yes,
2798,beavertown gamma ray pale ale 4x330ml 5.4 %,beavertown gamma ray pale ale 4x330ml 5.4 %,Yes,
2801,beavertown neck oil ipa 4.3 % 4x330ml,beavertown neck oil ipa 4.3 % 4x330ml,Yes,
2841,beck bottle 660ml,beck bier bottle 660ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/7f48b2a81ad573774dd93df736927f59/859baff1d76042a45e319d1de80aec7a.jpeg
2916,beefsteak beef liberty malbec 75cl,beefsteak beef liberty malbec 75cl,Yes,
2917,beefsteak club malbec 75cl,beefsteak club malbec 75cl,Yes,https://d1ralsognjng37.cloudfront.net/17876e75-f391-47d4-b388-31e4c695b4c3.jpeg
2946,bell blended scotch whisky,bell blended scotch whisky,Yes,
2978,belle letter cote du rhone 75cl,belle letter cote du rhone 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c03f292c9c1dac43d1d263f10ffedd83/859baff1d76042a45e319d1de80aec7a.jpeg
2979,bellino bianco 70cl,bellino bianco 70cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/19fdcc5fa522f03fc57c2ffa0a756d83/859baff1d76042a45e319d1de80aec7a.jpeg
3242,berberano tempranillo 75cl,berberano tempranillo 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/40551be13e0018d70da59dc6fac8b17a/859baff1d76042a45e319d1de80aec7a.jpeg
3281,best one 10 yellow duster,best one 10 yellow duster,Yes,
