item_uuid,item_name,product_name,image_url
93156c3f-5e89-53b9-83f2-d164e4f8ada0,DORITOS CHILLI HEATWAVE 150G,doritos chilli heatwave 150g,https://d1ralsognjng37.cloudfront.net/62ad859c-b8cb-413f-9171-ef145bf6af24.jpeg
9313791e-445f-4266-9455-8057b8c26787,del monte pineapple slices in juice 435g,del monte pineapple slice in juice 435g,
93107046-8cf1-5fdd-98f0-c73370e9315a,WEETABIX READY BREK,weetabix ready brek,
930ea2f6-6f3a-4ba5-8d8e-56c3f38f52d2,Benson & Hedges Blue 20s ,benson hedge blue 20,
930e2829-6167-44ec-b7b0-dedb67283dd1,snickers ice cream bar 72.5ml,snicker ice cream bar 72.5ml,
930e2470-fd67-5b4a-97af-b31077f73d9b,BAREFOOT MERLOT 75CL,barefoot merlot 75cl,https://d1ralsognjng37.cloudfront.net/20cdb2f4-526c-47ae-ae5d-e1d1a473c7ea.jpeg
930751cd-d8aa-4e5e-8e9e-83e17a16d833,Evian Still Natural Mineral Water 1.5L,evian still natural mineral water 1.5l,https://tb-static.uber.com/prod/image-proc/processed_images/c177dce5b7f821560e57ba72573def5b/859baff1d76042a45e319d1de80aec7a.jpeg
93056d89-2bc5-49ea-94bc-83e4dbdb2f59,Cadbury Starbar 49g,cadbury starbar 49g,https://tb-static.uber.com/prod/image-proc/processed_images/66e337b502dd35c495100dc6fad47e74/859baff1d76042a45e319d1de80aec7a.jpeg
93026163-a399-5d72-8962-ce9939d6b619,mayfair ks sky blue (t&t) * 20s,mayfair k sky blue tt 20,
9301b847-bbc6-4d96-a259-a1014c12fc79,Courget,courget,
930024db-810d-5c8c-b967-3435d37c6c8a,Doritos Tangy Cheese 70g,doritos tangy cheese 70g,https://d1ralsognjng37.cloudfront.net/fb3038a3-4ede-4397-90b4-93e30e4221df.jpeg
92ffcd8a-471c-4225-8f67-494c7fe9519c,Co Op Junior Nappy Pnts Size 5 20's,co op junior nappy pnts size 5 20,https://d1ralsognjng37.cloudfront.net/c13cf98b-9a52-4b45-b669-29400d5ac92f.jpeg
92fbc568-c31b-4465-8fde-d6ffde39b99d,Lucozade Energy Orange Pm 1.50 1ltr,lucozade energy orange  1ltr,https://d1ralsognjng37.cloudfront.net/c6fab41b-8d98-4577-9204-c46ea0140223.jpeg
92fb0f2a-600b-4f2b-8cb2-4003a478f59b,Strongbow Dark Fruit Can 4x440ml,strongbow dark fruit can 4x440ml,
92f7cf32-5f18-4edb-a31f-aa8b610bc74e,BEN & JERRYS PEAC POPS 3PK,ben jerry peac pop 3pk,https://d1ralsognjng37.cloudfront.net/74b009d1-56f0-4a8f-8e41-7fb1a11b67a9.jpeg
92f56462-75aa-4bb1-9058-2e852859035c,Galaxy Minstrels Chocolate Treat Bag 80g,galaxy minstrel chocolate treat bag 80g,https://d1ralsognjng37.cloudfront.net/7b118d61-771c-409b-a107-33ad7f0ede37.jpeg
92f4aa19-036f-58b6-bc1c-7895368fb255,Fanta Fruit Twist,fanta fruit twist,
92f39b29-87f8-5474-9bdd-610a8af811af,colgate protection pm 1 75ml,colgate protection pm 1 75ml,https://tb-static.uber.com/prod/image-proc/processed_images/ead7aa70286a8f6fca283771350f8d8d/859baff1d76042a45e319d1de80aec7a.jpeg
92f38819-7cbd-4368-93d6-aa478b2d0ef9,DesperadosBottles 3 x 330ml,desperadosbottles 3 x 330ml,
92eb953c-0e8f-42ab-b528-b912a6dbe0bd,New Oreo cereals 350g,new oreo cereal 350g,https://d1ralsognjng37.cloudfront.net/08a12d1d-7d86-4340-8aa8-42d4d42295d9.jpeg
92e76987-9bad-4390-bdef-afd23678e526,Pepsi Max ,pepsi max,
92e3c3cc-c89d-5ffe-a6ee-1a591b1cbfc1,Oasis Summer Fruits 500ml,oasis summer fruit 500ml,
92e16fe4-5f0d-4277-92f0-4147d48c2fa2,Dr Pepper,dr pepper,https://d1ralsognjng37.cloudfront.net/da9cf993-5769-4e64-b8ca-a3f2e26efdce.jpeg
92d863fa-ee47-492e-9821-da1ff46508fa,Pepsi 500ml,pepsi 500ml,https://d1ralsognjng37.cloudfront.net/dd5f1dee-8051-430a-a1c9-b94d73db4666.jpeg
92d06361-373c-4c5d-b215-1bcfd7e4c221,CO OP CARROTS ,co op carrot,https://d1ralsognjng37.cloudfront.net/8cb84042-4a29-467e-a9c2-da0bb6765e09.jpeg
92cc6289-7a31-4dde-ba82-d3b4cefbed65,Cif Floor Cleaner Orchid,cif floor cleaner orchid,https://tb-static.uber.com/prod/image-proc/processed_images/1dbef410312d04280a8cc0acf72e30db/859baff1d76042a45e319d1de80aec7a.jpeg
92ca669f-06d9-4e33-aa0b-050f01b73bd0,baker st hot dog rolls 4pk 4pk,baker st hot dog roll 4pk 4pk,https://tb-static.uber.com/prod/image-proc/processed_images/21a25d3b4c1b7b3ac8da9871fa6c62a5/859baff1d76042a45e319d1de80aec7a.jpeg
92c97761-2fff-55f3-a0d7-35f1cc0fa8c0,walkers ready salted pm 1 65g,walker ready salted pm 1 65g,
92c933a7-b77d-5234-8ecf-7100ca1f2acf,Twix Xtra Chocolate Biscuit Twin Bars 75g,twix xtra chocolate biscuit twin bar 75g,https://d1ralsognjng37.cloudfront.net/dc0d49ac-8efb-4eee-89fb-6f5fc4aeb429.jpeg
92c72ceb-87ef-50a5-ad38-c7f802ecc05b,co op smoked rindless back bacon 2f 4 300g,co op smoked rindless back bacon 2f 4 300g,https://tb-static.uber.com/prod/image-proc/processed_images/926e8c1fb0a7c1b343c68890a44e4ec9/859baff1d76042a45e319d1de80aec7a.jpeg
92c411d1-8f5e-4940-9c10-dfdc8802d99b,Volvic Touch of Fruit Lemon & Lime Flavoured Water 1.5L,volvic touch of fruit lemon lime flavoured water 1.5l,https://tb-static.uber.com/prod/image-proc/processed_images/dc2678e9d1c71653979d8f85506b5fba/859baff1d76042a45e319d1de80aec7a.jpeg
