item_uuid,item_name,image_url,number_sku_sold
23999342-0f91-5d54-a05f-d15852867b1c,yazoo chocolate pm 1 400ml,,1
317121b7-a3ce-53f7-885c-558bd3fc289d,yazoo chocolate pm 1 400ml,,2
37afd249-4cfb-4db2-9fcf-45700a17a71a,yazoo chocolate pm 1 400ml,,2
3e129391-6a58-5efc-8f75-4bc3562e9ace,yazoo chocolate pm 1 400ml,,4
52564ead-60d8-5d29-85ef-bbf1901cc555,yazoo chocolate pm 1 400ml,,2
7854d4bc-d702-5102-814e-d078b6f98e97,yazoo chocolate pm 1 400ml,,1
a2f36b1c-c280-5ad4-85d8-a920fafcfbda,yazoo chocolate pm 1 400ml,,6
100a939b-6de8-5688-b529-26af63d47dc4,yazoo chocolate pm  400ml,,4
1bb34b09-a95a-51da-b9c7-4330e3da8ac1,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,2
3ddf81db-64cd-5006-a497-d6fb8ee62360,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,6
8653dc7a-25f3-5e18-b061-ac24a2ab11db,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,1
95d77658-5795-5560-ab28-444c2e2ff636,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,0
9d3e5cdb-da86-4fdb-a2af-7ab0eeda18e8,yazoo chocolate milk 1ltr,,3
9d3e5cdb-da86-4fdb-a2af-7ab0eeda18e8,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,3
b27028d0-8cfd-5a06-9eb0-19dc3621dab7,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,9
bb034740-c999-541c-80a5-356abceba0ae,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,0
d1dd8bdf-3905-5bf4-946c-4f700d8f12aa,yazoo chocolate milk 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8f16c74c878bb4a1c62be6af0eaa66b3/859baff1d76042a45e319d1de80aec7a.jpeg,2
f9119a06-3ce8-4e35-85ba-2ca1d950ce9e,yazoo banana pm 1.19 400ml,https://tb-static.uber.com/prod/image-proc/processed_images/d52524de70b382f8f402398e16f8c87f/859baff1d76042a45e319d1de80aec7a.jpeg,6
