group_id,leader,member
28369,strawberry milk 500ml,funtime banana milkshake 500ml
28369,strawberry milk 500ml,funtime chocolate 500m
28369,strawberry milk 500ml,funtime chocolate flavour milk 500ml
28369,strawberry milk 500ml,funtime chocolate flavour milk 500ml bottle
28369,strawberry milk 500ml,funtime chocolate milk 500ml
28369,strawberry milk 500ml,funtime chocolate milkshake 500ml
28369,strawberry milk 500ml,funtime strawberry 500 ml
28369,strawberry milk 500ml,funtime strawberry 500ml
28369,strawberry milk 500ml,funtime strawberry milkshake 500ml
28369,strawberry milk 500ml,strawberry milk 500ml
28370,strawberry milkshake,freal milkshake strawberry
28370,strawberry milkshake,freal straberry milkshake
28370,strawberry milkshake,freal strawberry milk shake
28370,strawberry milkshake,freal strawberry milkshake
28370,strawberry milkshake,freal strwberry milkshake
28370,strawberry milkshake,solo strawberry ice
28370,strawberry milkshake,solo strawberry milkshake
28370,strawberry milkshake,strawberry milkshake
28371,strawberry pencil 160g,strawberry pencil 160g
28372,strawberry punnet,co op strawberry punnet 1
28372,strawberry punnet,raspberry punnet
28372,strawberry punnet,strawberry punnet
28373,strawberry raspberry cherry ice elf bar,elf bar strberry raspberry cherry ice
28373,strawberry raspberry cherry ice elf bar,strawberry raspberry cherry ice elf bar
28374,strawberry regular slush,strawberry regular slush
28375,strawberry sorbet,strawberry sorbet
28376,strawberry swiss roll,cabico strawberrry swiss roll
28376,strawberry swiss roll,cabico strawberry swiss roll
28376,strawberry swiss roll,cabico strawberry swiss roll 
28376,strawberry swiss roll,strawberry swiss roll
28377,strawberry vegan sorbet,strawberry vegan sorbet
28378,strawberrybanana smoothie,freal strawberrybanana smoothie
28378,strawberrybanana smoothie,strawberrybanana smoothie
28379,strawhat rose 11 % 75cl,strawhat rose 11 % 75cl
28380,strawhat white wine 11 % abv,strawhat white wine 11 % abv
28381,string thing cheestrings,string thing cheesestrings x1
28381,string thing cheestrings,string thing cheestrings
28382,string thing cheestrings 4 x 20g 80g,string thing cheestrings 4 x 20g 80g
28383,strong bow dark fruit x4 440ml,strong bow dark fruit x4 440ml
28384,strong bow dark fruit x4 568ml,strong bow dark fruit x4 568ml
28385,strong bow original cider 4 pack,strong bow original cider 4 pack
28386,strong bow x4 440ml,strong bow x4 440ml
28387,strong bow x4 568ml,strong bow x4 568ml
28388,strong root cauliflower hash brown,strong root cauliflower hash brown
28393,strongbow 10x440m,strongbow 10x440m
28395,strongbow 15x440ml can pack,strongbow 15x440ml can pack
28396,strongbow 18 pack 440ml,foster 18 drink 440ml
28396,strongbow 18 pack 440ml,strongbow 18 440ml
28396,strongbow 18 pack 440ml,strongbow 18 drink 440ml
28396,strongbow 18 pack 440ml,strongbow 18 pack 440ml
28397,strongbow 18x440ml can pack,strongbow 18x440ml can pack
28398,strongbow 2 ltr pet 2ltr,strongbow 2 ltr pet 2ltr
28399,strongbow 2l,strongbow 2l
28401,strongbow 3l,strongbow 3l
28403,strongbow 4 pack 440ml,strongbow 4 pack 440ml
28404,strongbow 4 pint pack,strongbow 4 pint pack
28406,strongbow 4 x 568ml,strongbow 4 x 568ml
28408,strongbow 4440ml,strongbow 4440ml
28410,strongbow 4x 440ml,strongbow 4x 440ml
28412,strongbow 4x500ml,strongbow 4x500ml
28413,strongbow 4x568ml pack,strongbow 4x568ml
28413,strongbow 4x568ml pack,strongbow 4x568ml pack
28417,strongbow can 10pk 440ml,strongbow 10pk
28417,strongbow can 10pk 440ml,strongbow 10pk 440ml
28417,strongbow can 10pk 440ml,strongbow can 10pk 440ml
28420,strongbow cider 2ltr,strongbow 2ltr
28420,strongbow cider 2ltr,strongbow cider 2lt
28420,strongbow cider 2ltr,strongbow cider 2ltr
28422,strongbow cider 440ml 10pk,strongbow cider 440ml 10pk
28424,strongbow cider big bottle non ltr,strongbow cider big bottle non ltr
28425,strongbow cider can 18 pack,strongbow cider can 18 pack
28432,strongbow cider original can 568 ml x 4 pack,strongbow cider dark fruit can 568 ml x 4 pack
28432,strongbow cider original can 568 ml x 4 pack,strongbow cider original can 568 ml x 4 pack
28433,strongbow cider rose,strongbow cider rose
28434,strongbow cider rose can 440 ml x 4 pack,strongbow cider cloudy apple can 440 ml x 4 pack
28434,strongbow cider rose can 440 ml x 4 pack,strongbow cider dark fruit can 440 ml x 4 pack
28434,strongbow cider rose can 440 ml x 4 pack,strongbow cider original can 440 ml x 4 pack
28434,strongbow cider rose can 440 ml x 4 pack,strongbow cider rose can 440 ml x 4 pack
28436,strongbow cloudy apple 10 pack,strongbow apple 10 pack
28436,strongbow cloudy apple 10 pack,strongbow cloudy apple 10 pack
28438,strongbow cloudy apple 4pk  4x440ml,strongbow cloudy apple 4pk  4x440ml
28440,strongbow cloudy apple cider,strongbow cloudy apple cider
28442,strongbow dark 10pack,strongbow 10pack
28442,strongbow dark 10pack,strongbow dark 10pack
28447,strongbow dark fruit 10pk 10x440ml,10pk strongbow dark fruit can
28447,strongbow dark fruit 10pk 10x440ml,strongbow dark fruit 10pk
28447,strongbow dark fruit 10pk 10x440ml,strongbow dark fruit 10pk 10x440ml
28449,strongbow dark fruit 4 drink 440ml,strongbow 4 drink 440ml
28449,strongbow dark fruit 4 drink 440ml,strongbow dark fruit 4 drink 440ml
28450,strongbow dark fruit 4 pack can  4.0 % abv 568ml,strongbow dark fruit 4 pack can  4.0 % abv 568ml
28456,strongbow dark fruit 4pint pack,strongbow dark fruit 4 pint pack
28456,strongbow dark fruit 4pint pack,strongbow dark fruit 4pint pack
28461,strongbow dark fruit cider 4x 440ml,strongbow dark fruit cider 4x 440ml
28470,strongbow dark fruit pint x4,strongbow dark fruit
28470,strongbow dark fruit pint x4,strongbow dark fruit 
28470,strongbow dark fruit pint x4,strongbow dark fruit  
28470,strongbow dark fruit pint x4,strongbow dark fruit cider
28470,strongbow dark fruit pint x4,strongbow dark fruit cider can
28470,strongbow dark fruit pint x4,strongbow dark fruit cider slush
28470,strongbow dark fruit pint x4,strongbow dark fruit pint
28470,strongbow dark fruit pint x4,strongbow dark fruit pint x4
28472,strongbow darkfruit 4x 440ml,strongbow darkfruit 4x 440ml
28473,strongbow darkfruit 4x440ml,strongbow darkfruit 10x440ml
28473,strongbow darkfruit 4x440ml,strongbow darkfruit 4x440ml
