group_id,leader,member,modify_leader,image_url
2022,bachelor pastasauce cheese and broccoli 99g,bachelor pastasauce cheese and broccoli 99g,Yes,
2849,bachelor super noodle curry,batchelors super noodle mild curry ,No,
2035,bacofoil 300mm 5 metre,bacofoil 300mm 5 metre,Yes,
2118,bahlsen hit cocoa sandwich biscuit 220g,bahlsen hit chocolate sandwich biscuit 220g,No,
2138,bailey irish cream 1l 2 for 35,bailey irish cream 1l 2 for 35,Yes,
2448,bang pineapple mango flavour 6ml,bang pineapple mango flavour 6ml,Yes,
2455,bang vapes banana ice flavour 6ml,bang vapes banana ice flavour 6ml,Yes,
2456,bang vapes blueberry ice flavour 6ml,bang vapes blueberry ice flavour 6ml,Yes,
2457,bang vapes grape ice flavour 6ml,bang vapes grape ice flavour 6ml,Yes,
2458,bang vapes lemon tart flavour 6ml,bang vapes lemon tart flavour 6ml,Yes,
2465,bangdisposable bubble gum ice 2000puffs,bangdisposable bubble gum ice 2000puffs,Yes,
2481,bar cheryyade 330ml,bar cherry 330ml,No,
2621,barr cherryade,baar cherryade ,No,
2669,barr orangeade,barr orangeade ,No,
17698,barr sour apple,geekbar sour apple,No,
2719,barratt milk bottle 150 g,barratt milk bottle 150g ,No,
2727,barratt shrimp banana,barratt shrimp banana ,No,
2731,barratt wham softies,barratt wham softy ,No,
2843,batchelors super noodle cup bbq beef,batchelors super noodle bbq beef ,No,
2844,batchelors super noodle cup chicken,batchelors super noodle chicken ,No,
40022,batchelors super noodles chicken flavour 90 g,batchelors super noodle bacon 90g ,No,
40022,batchelors super noodles chicken flavour 90 g,batchelors super noodle chicken 90g ,No,
40022,batchelors super noodles chicken flavour 90 g,batchelors super noodle mild curry 90g ,No,
40022,batchelors super noodles chicken flavour 90 g,batchlors super noodle bbq 90g ,No,
2853,batchelors super rice golden vegetable 90g,batchelors super rice golden 90g,No,
2856,batchlors smash the original 280g,batchlors smash the original 280g,Yes,
2889,bazooka juicy drop gummies gel pen,bazooka juicy drop gummies gel pen,Yes,
2903,be potatowafflles 567g,be potatowafflles 567g ,No,
2948,beck 6pk nrb 6x275ml,beck 6pk nrb 6x275ml,Yes,
2959,beck large nrb 660ml,beck lge nrb 600ml,No,
2995,beechams all in one non drowsy,beechams all in one non drowsy,Yes,
2996,beechams cold flu honeylemon,beechams cold flu honeylemon,Yes,
2997,beechams gsl cold flu blackcurrant,beechams gsl cold flu blackcurrant,Yes,
3034,beefeaterpink strawberry,beefeaterpink strawberry,Yes,
3061,bell 35cl ,bell 35cl ,Yes,
3125,belvita breakfast cocoa x5,belvita breakfast cocoa x5,Yes,
3194,ben and jerry chocolate chip cookie dough tub,ben jerry chocolate chip cookie dough,No,
3179,ben and jerry tub choc fudge brownie 460 ml,ben and jerry tub choc fudge brownie 460 ml,Yes,
3180,ben and jerry tub cookie dough 460 ml,ben and jerry tub cookie dough 460 ml,Yes,
3181,ben and jerry tub karamel sotra 460 ml,ben and jerry tub karamel sotra 460 ml,Yes,
3182,ben and jerry tub netflix andchilling 460 ml,ben and jerry tub netflix andchilling 460 ml,Yes,
3183,ben and jerry tub phish food 460 ml,ben and jerry tub phish food 460 ml,Yes,
3246,ben jerry tub birthday cake 460ml,ben and jerry tub birthday cake 460 ml,No,
3281,benjerrys cookie dough twist 465ml rain dough,benjerrys cookie dough twist 465ml rain dough,Yes,
3284,benjerrys netflix and chill 465ml,benjerrys netflix and chill 465ml,Yes,
3369,benson & hedges king cigars 20 units,benson hedge new dual t t 20,No,
3369,benson & hedges king cigars 20 units,benson hedge silver t t 20,No,
3320,benson and hedge new dual,benson and hedge new dual,Yes,
3337,benson hedge k gold,benson and hedge blue,No,
3337,benson hedge k gold,benson and hedge blue dual,No,
3337,benson hedge k gold,benson and hedge gold,No,
3349,benson hedge silver k,benson and hedge silver,No,
3362,benson hedge skae blue t t 20,benson hedge skae blue sk t t 20,Yes,
3362,benson hedge skae blue t t 20,benson hedge skae blue t t 20,Yes,
3666,benson hedge sky blue superkings,benson and hedge blue superkings,No,
3666,benson hedge sky blue superkings,benson and hedge sky blue superkings,No,
3377,benson super king blue,benson super king blue,Yes,
3378,benson super king green 20pk,benson super king green 20pk,Yes,
3407,bernard matthew chicken breast slice,bernard matthew chick breast slice,No,
3455,best one cooking salt 1.5kg,best one cooking salt 1.5kg,Yes,
3463,best one extra virgin olive oil 250ml,best one extra virgin olive oil 250ml,Yes,
3467,best one gala apple 4,best one gala apple 4,Yes,
3473,best one green apple 4,best one green apple 4,Yes,
3513,best one spaghetti 500g,best one spaghetti 500g,Yes,
4130,best one spaghetti bolognese,bisto spaghetti bolognese ,No,
3529,best one vegetable oil 500ml,best one vegetable oil 500ml,Yes,
3586,betty crocker rainbow chip party cake mix,betty crocker rainbow chip party cake mix,Yes,
3587,betty crocker rainbow cookie mix 495g,betty crocker rainbow chip cake mix 425g,No,
3593,betty crocker vanilla buttercream flavour icing 400 g,betty crocker buttercream vanila icing 400g,No,
3625,bh blue superkingsize,bh blue superkings tt,No,
3640,bh k gold ttt,bh gold tt,No,
3645,bh new blue dual ttt,bh blue dual tt,No,
3663,bh sky blue king size,bh blue king size tt,No,
3671,bh superkings green,bh green superkings tt,No,
3675,bic 2 sensitive men disposable.razors with two.blades for a close and precise shave 5 pack,bic 2 sensitive men disposable.razors with two.blades for a close and precise shave 5 pack,Yes,
3684,bic twin lady disposable x5,bic twin lady disposable x5,Yes,
3707,big hoop bbg ,big hoop bbg ,Yes,
3778,biokey organic fusilli pasta 100 % chickpea 250g,biokey organic fusilli pasta 100 % chickpea 250g,Yes,
3780,biokey organic pasta seaweed 500g,biokey organic pasta seaweed 500g,Yes,
3969,bird bros fres egg 12 units,bird bros large egg 12 ,No,
3809,bird eye 10 value fish finger 250g,bird eye 10 value fish finger ,No,
3824,bird eye 4 original beef burger 228g,bird eye 4 original beef burger ,No,
3831,bird eye battered cod fillet 2pk ,bird eye battered cod fillet 2pk ,Yes,
3840,bird eye beef quarter pounder,bird eye beef quarter pounder 4 ,No,
3860,bird eye chicken chargrills original,bird eye chicken chargrills original 2,No,
3862,bird eye chicken curry,bird eye chicken curry ,No,
3867,bird eye chicken dipper 220 g,bird eye chicken dipper 220g ,No,
