group_id,leader,member,modify_leader,image_url
17962,glen vodka 35cl ,glen vodka 35cl ,Yes,
18262,goodfellas stone baked thin ,goodfellas stone baked thin ,Yes,
18266,goodfellas stonebaked thin pepperoni ,goodfellas stonebaked thin pepperoni ,Yes,
33298,gordon pink gin tonic 250ml,gordons tonic 250ml ,No,
19114,hagen dazs fruit minicups,hagen dazs fruit minicups,Yes,
36918,hardy vr sauvignon blanc 75cl,casillero del diablo sauignon blanc 75cl,No,
20058,haribo fruitilicious,haribo fruitilicious bag,No,
20109,haribo jelly bean,haribo jelly baby ,No,
20109,haribo jelly bean,haribo jelly bean ,No,
20184,haribo starmix 190g,haribo starmix 160g ,No,
20217,haribo tangfastics 160g ,haribo tangfastics 160g ,Yes,
20218,haribo tangfastics 175 g,haribo tangfastics 175 g,Yes,
20425,heets turquoise selection 20 tobacco stick,heets amber selection 20,No,
20425,heets turquoise selection 20 tobacco stick,heets amber selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets amber selection tobacco stick 20,No,
20425,heets turquoise selection 20 tobacco stick,heets blue selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets green selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets teak selection 20,No,
20425,heets turquoise selection 20 tobacco stick,heets teak selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets teak selection tobacco stick 20,No,
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection 20,No,
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection tobacco stick 20,No,
20425,heets turquoise selection 20 tobacco stick,heets yellow selection 20 stick,No,
20425,heets turquoise selection 20 tobacco stick,heets yellow selection tobacco stick 20,No,
20619,heinz five beanz 415g,heinz beanz 415g ,No,
21524,hula hoop bbq beef 70g ,hula hoop bbq beef 70g ,Yes,
21780,ice comp premium ice cubes1kg,ice comp premium ice cube 1kg,No,
21881,inch apple cider 440ml alc 4.5 % x 4pack,inch apple cider 440ml alc 4.5 % x 4pack ,No,
21947,irn bru 330ml can,irn bru 330ml can ,No,
22738,jacob's baked cheese & onion crinklys 90 g,jacob baked crinklys cheese onion90g ,No,
23452,k cider 4pk,k cider 4pk,Yes,
23743,kellogg's coco pop 480 g,kellogg coco pop 480g ,No,
23728,kellogg's corn flakes 550 g,kellogg cornflakes 550g ,No,
23735,kellogs frosties 500 g,kellogg frosties 500g ,No,
23872,kershaws homestyle big breakfast 400 g,kershaws big breakfast 400g ,No,
24074,kinder chocolate 100g t8 ,kinder chocolate 100g t8 ,Yes,
24123,kinder milkhazelnut 20.7 g,kinder milkhazelnut 20.7 g,Yes,
24811,kp honey roast peanut 65g,kp honey roast peanut 65g ,No,
24816,kp original salted nut,kp original salted nut ,No,
24818,kp original salted peanut 65g,kp original salted peanut 65g ,No,
24823,kp peanut dry roasted,h dry roasted peanut ,No,
24823,kp peanut dry roasted,kp dry roasted peanut ,No,
25210,lambert and butler king size silver t and t 20,lambert butler king size silver t and t 20,No,
26063,locket honey lemon 43g,locket honey and lemon 43 g,No,
26452,lucozade sport orange drink 500 ml,aloe vera original 500 ml,No,
26452,lucozade sport orange drink 500 ml,coke original 500 ml,No,
