group_id,leader,member,modify_leader,image_url,Image,label,canonical_leader,brand,name,package ,promotion,Comments
20724,nexium 20 mg tabletas via oral,nexium 20 mg tabletas via oral,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1a79d7750cfc3c8d9208f8c17a7468a1/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 20 mg 14 tabletas,Nexium,esomeprazol 20 mg,14 tabletas,,
20725,nexium 20 mg x 14 comprimidos,nexium 20 mg x 14 comprimidos,Yes,,,TRUE,Nexium esomeprazol 20 mg 14 tabletas,Nexium,esomeprazol 20 mg,14 tabletas,,
20726,nexium 20 mg x 28 comprimidos caja x 28 tableta recubierta,nexium 20 mg x 14 comprimidos caja x 14 tableta,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/36d64aba19faa2ca6687ed4aedc5fab1/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Nexium esomeprazol 20 mg 14 tabletas,Nexium,esomeprazol 20 mg,14 tabletas,,
20726,nexium 20 mg x 28 comprimidos caja x 28 tableta recubierta,nexium 20 mg x 28 comprimidos caja x 28 tableta recubierta,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7d8f8d56268d17552f6b7315bcb844c2/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 20 mg 28 tabletas,Nexium,esomeprazol 20 mg,28 tabletas,,
20727,nexium 40 mg 28 tabletas recubiertas,nexium 40 mg 14 tabletas recubiertas,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/be050a365359006a6d3c01a22a684820/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Nexium esomeprazol 40 mg 14 tabletas,Nexium,esomeprazol 40 mg,14 tabletas,,
20727,nexium 40 mg 28 tabletas recubiertas,nexium 40 mg 28 tabletas recubiertas,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/06e12ef5cd6b8276d2987fc485060728/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 40 mg 28 tabletas,Nexium,esomeprazol 40 mg,28 tabletas,,
20728,nexium 40 mg caja con 28 tabletas,nexium 40 mg caja con 28 tabletas,Yes,https://d1ralsognjng37.cloudfront.net/49f5a672-4674-4816-ad31-450f58b95021.jpeg,,TRUE,Nexium esomeprazol 40 mg 28 tabletas,Nexium,esomeprazol 40 mg,28 tabletas,,
20729,nexium 40 mg tabletas via oral,nexium 40 mg tabletas via oral,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cb991a63f51fc77b9c99a487f7551feb/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 40 mg 28 tabletas,Nexium,esomeprazol 40 mg,28 tabletas,,
20730,nexium 40 mg tabletas via oral caja con 14 unidades,nexium 40 mg tabletas via oral caja con 14 unidades,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e5ee4726979a7b854c365c02775430c5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 40 mg 14 tabletas,Nexium,esomeprazol 40 mg,14 tabletas,,
20731,nexium 40 mg tabletas via oral venta unitaria,nexium 40 mg tabletas via oral venta unitaria,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e5ee4726979a7b854c365c02775430c5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 40 mg 1 tableta,Nexium,esomeprazol 40 mg,1 tableta,,
20734,nexium 40 mg x 28 comprimidos,nexium 40 mg x 14 comprimidos,Yes,,,FALSE,Nexium esomeprazol 40 mg 14 tabletas,Nexium,esomeprazol 40 mg,14 tabletas,,
20734,nexium 40 mg x 28 comprimidos,nexium 40 mg x 28 comprimidos,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7db1df1d45386d6c674cd9845fada674/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Nexium esomeprazol 40 mg 28 tabletas,Nexium,esomeprazol 40 mg,28 tabletas,,
20735,nexium 40 mg x 28 comprimidos caja x 28 tableta recubierta,nexium 40 mg x 14 comprimidos caja x 14 tableta recubierta,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/fc78c591bef240072354bd179e9dc015/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Nexium esomeprazol 40 mg 14 tabletas,Nexium,esomeprazol 40 mg,14 tabletas,,
20735,nexium 40 mg x 28 comprimidos caja x 28 tableta recubierta,nexium 40 mg x 28 comprimidos caja x 28 tableta recubierta,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1d3e4eac05fc1359cb5935d04aced1dd/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Nexium esomeprazol 40 mg 28 tabletas,Nexium,esomeprazol 40 mg,28 tabletas,,
21075,omelette con jamon y queso zarcero,omelette con jamon y queso zarcero,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/4588f20fbaf1793a884241e596d5267e/b4facf495c22df52f3ca635379ebe613.jpeg,,TRUE, omelette con jamón y queso zarcero ,,omelette con jamón y queso zarcero,,,
21508,paleta chocoleta do pinos 85 gr,paleta chocoleta do pinos 85 gr,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/813c83c8ca07a9cb28e3ed3e6cf3239c/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos paleta chocoleta de chocolate Bolsa 85 g,Dos Pinos,paleta chocoleta de chocolate,Bolsa 85 g,,
21509,paleta cremole fresa do pinos 75 gr,helado cremoleta fresa do pinos 75 g 0141,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e3e24e6ab88204ecebc0f27f127d4c06/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos paleta cremoleta de fresa Bolsa 75 g,Dos Pinos,paleta cremoleta de fresa,Bolsa 75 g,,
21509,paleta cremole fresa do pinos 75 gr,helado cremoleta fresa do pinos 75 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2e71e0a56a773e6a8da527660116d13b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Dos Pinos paleta cremoleta de fresa Bolsa 75 g,Dos Pinos,paleta cremoleta de fresa,Bolsa 75 g,,
21509,paleta cremole fresa do pinos 75 gr,paleta cremole fresa do pinos 75 gr,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d40c92a5fcec8a2f97b9f165b108cd35/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos paleta cremoleta de fresa Bolsa 75 g,Dos Pinos,paleta cremoleta de fresa,Bolsa 75 g,,
21689,paquete de 3 gallitos,paquete de 3 gallitos,Yes,https://d1ralsognjng37.cloudfront.net/2695418a-1f13-4d6a-8401-94007f8c82f8.jpeg,,TRUE, gallitos 3 unids,,gallitos,3 unids,,
21724,pastel explosion chocolate helado do pinos chocochips 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,pastel explosion chocolate helado combinado do pinos 14 gl 499 grs gaseosa pepsi 2.5 lts barquillo chocolate jack 65 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9db5cffa5578a51744cb8938d1131f47/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE, Pack pastel explosion chocolate + helado combinado Dos Pinos + gaseosa Pepsi +  barquillo chocolate Jack 4 unids,,Pack pastel explosion chocolate + helado combinado Dos Pinos + gaseosa Pepsi +  barquillo chocolate Jack,4 unids,,
