group_id,leader,member,modify_leader,image_url,image,label,canonical leader ,brand ,name,package ,promotion
15557,ferrero collection 172g,ferrero rocher collection 172g,No,,,True ,ferrero collection 172 g,ferrero rocher,collection chocolate,172 g,0
16491,fruittella juicy chew,fruitella juicy chewy bag,No,https://d1ralsognjng37.cloudfront.net/3d32a5b8-e8e0-471e-ab84-607b1fb50e41.jpeg,,False ,fruitella juicy chewy bag,fruitella,juicy summer fruits chewy bag,1 unit,0
17011,geek bar banana ice 1,geek bar banana ice,No,,,True ,Geek Bar Vape pen banana ice 1 unit,Geek Bar,Vape pen banana ice,1 unit,0
19180,hardy crestchardonnay 75cl cheaper at hour grocer download the app today,hardy crestcabernet sauvignon 75cl cheaper at hour grocer download the app today,Yes,,,True ,Hardy's Crest charonnay white wine 750 ml,Hardy's,Crest charonnay white wine,750 ml,0
19180,hardy crestchardonnay 75cl cheaper at hour grocer download the app today,hardy crestchardonnay 75cl cheaper at hour grocer download the app today,Yes,,,True ,Hardy's Crest charonnay white wine 750 ml,Hardy's,Crest charonnay white wine,750 ml,0
19456,haribo strawberry balla stixx,haribo balla stixx strawberry,No,,,True ,Haribo Strawberry balla stixx 140 g,Haribo,Strawberry balla stixx,140 g,0
20807,hula hoop big hoops bbq beef crisp 70 g,hula hoop big hoop bbq beef crisp 70g,No,https://tb-static.uber.com/prod/image-proc/processed_images/f59705501e75f3af1942e8e2b4206772/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,Hula Hoop Big hoops bbq beef crisp 70 g,Hula Hoop,Big hoops bbq beef crisp,70 g,0
20787,hula hoop original big hoop 70g,hula hoop big hoop original crisp 70g,No,https://tb-static.uber.com/prod/image-proc/processed_images/42b5140ffb331d589d505b686502b671/4218ca1d09174218364162cd0b1a8cc1.jpeg,,True ,Hula Hoop Big hoop original crisp 70 g,Hula Hoop,Big hoop original crisp,70 g,0
32364,jps player green filter superkings 20,jps player super king green fusion 20,No,,,True ,JPS Players Super king green fusion 20 units,JPS Players,Super king green fusion,20 units,0
22622,k cider 4500ml cane,k cider 8.0 % 500ml can,No,,,False ,K Cider 500 ml,K,Cider,500 ml,0
22821,kellogg frosties 6,kellogg frosties,No,https://tb-static.uber.com/prod/image-proc/processed_images/c73bd9b77b96cd6a05c71232b8781094/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,Kellog's Frosties 1 unit,Kellog's,Frosties,1 unit,0
23944,kp dry roasted peanut 65g,kp dry roasted peanut 65g,No,https://tb-static.uber.com/prod/image-proc/processed_images/9bbccf5eb6e6e284c2db36bc7176e419/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,KP Dry roasted peanut 65 g,KP,Dry roasted peanut,65 g,0
23958,kp original salted peanut 65g,kp original salted peanut 65g,No,https://tb-static.uber.com/prod/image-proc/processed_images/09a0086ac9e10fa5e92b74ba46feed4f/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,KP Original salted peanut 65 g,KP,Original salted peanut,65 g,0
24060,kronenbourg 4pk pm 5 4x440ml,kronenbourg 4pk  4x440ml,No,,,True ,kronenbourg 4pk pm 5 4x440ml,Kronenbourg,Lager beer,4 x 440 ml,1
25479,lucozade enrgy orange,lucozade energy orange,No,,,True ,lucozade enrgy orange,Luozade Energy,Orange drink,1 unit,0
26250,maoam pinball,maoam pinball bag,No,,,True ,maoam pinball,Haribo,Maoman pinball candies,1 unit,0
27456,mcvities jaffa cake,mcvities jaffa cake,No,,,True ,mcvities jaffa cake,McVitie's,Jaffa cakes,1 unit,0
27456,mcvities jaffa cake,mcvities jeffa cake,No,,,True ,mcvities jaffa cake,McVitie's,Jaffa cakes,1 unit,0
28344,mm peanut bag,mm peanut bag,No,https://d1ralsognjng37.cloudfront.net/86d4e0cf-4ec7-4df8-a6fa-879c7c84a4aa.jpeg,,True ,mm peanut bag,M&M's,chocolate & peanuts,1 unit,0
28477,monster energy,monster energy,No,https://tb-static.uber.com/prod/image-proc/processed_images/4760a035f08dcb5a5b69928ad44049a9/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,monster energy,Monster energy,original drink,1 unit,0
42145,monster munch flamin hot,monster munch flamin hot,No,,,True ,monster munch flamin hot,Monster Munch,Flamin' hot crisps,1 unit,0
