canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
170,Dos Pinos Deligurt Fresa 200 Ml,Dos Pinos,Deligurt Fresa,botella 200 ml,0.0,1
171,Dos Pinos Deligurt Frutas 200 Ml,Dos Pinos,Deligurt Frutas,botella 200 ml,0.0,1
172,Dos Pinos Deligurt Con Frutas 200 Ml,Dos Pinos,Deligurt Frutas,botella 200 ml,0.0,1
173,Dos Pinos Topping Sabor Vainilla Tapita 150 G,Dos Pinos,Topping Sabor Vainilla Tapita,pote 150 g,0.0,1
174,Dos Pinos Más Té Blanco Sabor Arándano 3 L,Dos Pinos,Más Té Blanco Sabor Arándano,botella 3 l,0.0,1
175,Dos Pinos Más Té Sabor Melocotón 3 L,Dos Pinos,Más Té Sabor Melocotón,botella 3 l,0.0,1
176,Dos Pinos Fresco Leche Sabor Chocolate 236 Ml,Dos Pinos,Fresco Leche Sabor Chocolate,cartón 236 ml,0.0,1
177,Dos Pinos Fresco Leche Fresa Sabor Fresa 236 Ml,Dos Pinos,Fresco Leche Fresa Sabor Fresa,cartón 236 ml,0.0,1
178,Dos Pinos Fresco Leche Sabor Fresa 1 L,Dos Pinos,Fresco Leche Fresa Sabor Fresa,cartón 1 l,0.0,1
179,Dos Pinos Fresco Leche Milán Menta 250 Ml,Dos Pinos,Fresco Leche Milán Menta,cartón 250 ml,0.0,1
180,Dos Pinos Fresco Leche Sabor Vainilla 236 Ml,Dos Pinos,Fresco Leche Sabor Vainilla,cartón 236 ml,0.0,1
181,Dos Pinos Fresco Leche Sabor Vainilla 1 L,Dos Pinos,Fresco Leche Sabor Vainilla,cartón 1 l,0.0,1
182,Gallito Tiramisú Tapita 144 G,Gallito,Tiramisú Tapita,bolsa 144 g,0.0,1
183,Dos Pinos Helado Guayabita 540 G,Dos Pinos,Helado Guayabita,pote 540 g,0.0,1
184,Dos Pinos Paleta Capricho 1 Unid,Dos Pinos,Paleta Capricho,1 unid,0.0,1
185,Dos Pinos Helado Coco 540 G,Dos Pinos,Helado Coco,pote 540 g,0.0,1
186,Dos Pinos Helado Krunchy 1 Unid,Dos Pinos,Helado Krunchy,1 unid,0.0,1
187,Dos Pinos Helado Sabor Avellana Deleite 200 G,Dos Pinos,Helado Sabor Avellana Deleite,caja 200 g,0.0,1
188,Dos Pinos Helado Galleta 540 G,Dos Pinos,Helado Galleta,pote 570 g,0.0,1
189,Dos Pinos Helado Krunchy 500 G,Dos Pinos,Helado Krunchy,pote 500 g,0.0,1
190,Dos Pinos Helado Mini Sandwich 570 G,Dos Pinos,Helado Mini Sandwich,pote 570 g,0.0,1
191,Dos Pinos Helado Mini Sandwich 1 Unid,Dos Pinos,Helado Mini Sandwich,1 unid,0.0,1
192,Dos Pinos Helado Mmmio 1 Unid,Dos Pinos,Helado Mmmio,1 unid,0.0,1
193,Dos Pinos Helado Morenito 540 G,Dos Pinos,Helado Morenito,pote 540 g,0.0,1
194,Dos Pinos Helado Napolitano 500 G,Dos Pinos,Helado Napolitano,pote 500 g,0.0,1
195,Dos Pinos Helado Super Cono 1 Unid,Dos Pinos,Helado Super Cono,1 unid,0.0,1
196,Dos Pinos Helado Trits 100 G,Dos Pinos,Helado Trits,pote 100 g,0.0,1
197,Dos Pinos Helado Naranja Holandesa Trits 100 G,Dos Pinos,Helado Naranja Holandesa Trits,pote 100 g,0.0,1
198,Dos Pinos Helado Veteado Chocolate Trits 540 G,Dos Pinos,Helado Veteado Chocolate Trits,pote 540 g,0.0,1
199,Dos Pinos Helado Veteado Chocolate 946 G,Dos Pinos,Helado Veteado Chocolate,pote 946 g,0.0,1
200,Dos Pinos Jugo De Naranja 12 L,Dos Pinos,Jugo De Naranja,cartón 12 l,0.0,1
201,Dos Pinos Jugo De Naranja 14 L,Dos Pinos,Jugo De Naranja,cartón 14 l,0.0,1
202,Dos Pinos Helado Krunchy 540 G,Dos Pinos,Helado Krunchy,pote 540 g,0.0,1
203,Dos Pinos Leche Deslactosada Delactomy 1 L,Dos Pinos,Leche Deslactosada Delactomy,cartón 1 l,0.0,1
204,Dos Pinos Leche Descremada In Line 1 L,Dos Pinos,Leche Descremada In Line,cartón 1 l,0.0,1
205,Dos Pinos Leche Semidescremada 1 L,Dos Pinos,Leche Semidescremada,cartón 1 l,0.0,1
206,Dos Pinos Leche Entera 3.5% 1 L,Dos Pinos,Leche Entera 3.5%,cartón 1 l,0.0,1
207,Dos Pinos Mini Sandwich Chocolate 48 G,Dos Pinos,Mini Sandwich Chocolate,caja 48 g,0.0,1
208,Dos Pinos Mini Sandwich Limón 48 G,Dos Pinos,Mini Sandwich Limón,caja 48 g,0.0,1
209,Dos Pinos Mini Sandwich Vainilla 48 G,Dos Pinos,Mini Sandwich Vainilla,caja 48 g,0.0,1
210,Dos Pinos Helado Mmmio 70 G,Dos Pinos,Helado Mmmio,empaque 70 g,0.0,1
211,La Granja Mortadela Criolla 375 G,La Granja,Mortadela Criolla,empaque 375 g,0.0,1
