Array joins,,,,,,Unique EANS,Count Unique: 14030,,
,Sku_Name,EAN,Parent,External_ID,,EAN,Sku_Name,Source,External_ID
EANs stored in ," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",7640171033730,Asda,7304120,,7640171033730," 
,7 Up 1.5l Free,4060800133601,Iceland - Swift,86159,,8719325335668,Abbot Kinneys Barista Milk 1L,Kindly of Brighton,2.99
,7 Up 1.5l Free,4060800133601,Iceland - Swift,86159,,5000227000185,"ABess 10 2.5"" Yorkshire Puds 190g",Sainsburys,8037263
,7 Up 2l Free,4060800108609,Iceland,37622,,7312040040704,Absolut 70cl Raspberri Vodka,Iceland,71773
,7 Up 2l Free,4060800108609,Iceland - Swift,37622,,7312040017683,Absolut Blue Vodka 70Cl,SGN,7312040017683
,7 UP 2ltr,4060800304339,vendor_info_Ext_ID,4060800304339,,7312040552528,Absolut Passionfruit Flavoured Vodka 70cl,Asda,6666124
,7 UP 2ltr,4060800304339,vendor_info_Ext_ID,4060800304339,,7312040323005,Absolut Passionfruit Martini Cocktail 250ml,Asda,6967892
,7 Up 500m Free,4060800109798,Iceland - Swift,47834,,7312040550371,Absolut Raspberry Vodka 70cl,Asda,1767913
,7 Up 500m Regular,4060800304384,Iceland - Swift,89458,,7312040017683,Absolut Vodka 70cl,Sainsburys,2958699
,7 Up 6pk Cans,87177831,Iceland - Swift,13717,,731040017683,Absolut Vodka 70cl,vendor_info_Ext_ID,731040017683
,7 Up 6pk Free,87170528,Iceland,71965,,1734096,Accents Of The Season Bouquet,Sainsburys,7298588
,7 Up 6pk Free,87170528,Iceland,71965,,5060188692355,Acti-Shake Hi Protein Chocolate Milk 358Ml,SGN,5060188692355
,7 Up 6pk Free,87170528,Iceland - Swift,71965,,5060188692362,Acti-Shake Hi Protein Strawberry Milk 358Ml,SGN,5060188692362
,7 Up 6pk Free,87170528,Iceland - Swift,71965,,5060188692379,Acti-Shake Hi Protein Vanilla Milk 358Ml,SGN,5060188692379
