external_id,EAN,Sku_Name,Source,Brandbank Product Name,Product Group 1,Product Group 2,Product Group 3,Functional Name,Variant,Brand,Gross Weight (g),Net Content,Allergy Advice,Per100 Energy (kJ),Per100 Energy (kcal),Per100 Carbohydrates (g),Per100 Fat (g),Per100 Total Sugar (g),Per100 Salt (g),Per100 Protein (g),Per100 Fibre (g),Alcohol By Volume (%)
7304120,7640171033730," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",Asda,Dewar's Caribbean Smooth Blended Scotch Whisky 700ml,Off Licence,Spirits & Liqueurs,Whisky,Whisky,Blended Scotch,Dewar's,1061,,,,,,,,,,,40
71374,5111112853134,. 1.2k Conference Pears,Iceland,Keelings Pears,Fruit & Vegetables,Other Fruit,Other Pears,Pears,,Keelings,1431,,,,,,,,,,,
71436,5055822000030,. 1.5k Gala Apple,Iceland,AC Goatham & Son Royal Gala,Fruit & Vegetables,Apples,Other Apples,,Royal Gala,,1605,,,,,,,,,,,
67519,5412873086848,. 1.5k Value Fry Chips,Iceland,,,,,,,,,,,,,,,,,,,
74959,5017221111625,. 10pk Jam & Cream Doughnuts,Iceland,,,,,,,,,,,,,,,,,,,
89361,8710648218188,. 18pk Sponge. Scourers,Iceland - Swift,18 Sponge Scourers,Kitchen & Bathroom,General Cleaners,Other Cleaner,Sponge Scourers,,,56,18 x Sponge Scourers,,,,,,,,,,
73801,7320020051671,. 1kg Premium Frankfurter,Iceland,Scandic Foods Premium Frankfurter 1000g,Frozen Foods,Frozen Meats,Other Frozen Meats,Premium Frankfurter,,Scandic Foods,1051,1000g e,,1144,273,7,23,1,1.6,10,,
58988,5010482589882,. 1unt Celery,Iceland,,,,,,,,,,,,,,,,,,,
88528,5010228006116,. 2pk Fries To Go,Iceland,Fries to Go Crispy Fries in Minutes 2 x 90g,Frozen Foods,Frozen Potato Products,Other Frozen Potato Products,Crispy Fries in Minutes,,Fries To Go,,90g e,,990,235,37,7.6,1.3,0.36,3.2,2.9,
85963,5060329692664,. 2pk No Chick Kiev,Iceland,,,,,,,,,,,,,,,,,,,
64792,5060125543641,. 32pk Value Sausages,Iceland,,,,,,,,,,,,,,,,,,,
86180,5013499000036,. 405g Curry Sauce,Iceland - Swift,Goldfish Brand Chinese Curry Sauce Concentrate 405g,Grocery,Sauces & Condiments,Other Sauces & Condiments,Curry Sauce Concentrate,Chinese,Goldfish Brand,436,405g,"Contains: Mustard, Wheat
May Contain: Celery, Soya",,,,,,,,,
90639,5056586600009,. 4pk Smoked Haddock Flts,Iceland,,,,,,,,,,,,,,,,,,,
69332,5020089000246,. 500g Beetroot,Iceland,,,,,,,,,,,,,,,,,,,
43188,5010482431884,. 500g Brussels Sprouts,Iceland - Swift,,,,,,,,,,,,,,,,,,,
78504,5060672400121,. 5kg Chicken Fillets,Iceland,Skinless Chicken Breasts Fillets 5kg,Frozen Foods,Frozen Meats,Frozen Chicken Portions,Chicken Breasts Fillets,Skinless,,5120,5kg e,,475,113,0,2.4,0,1.29,22.8,0,
1304,351546,JS British Salted Butter 250G,Sainsburys,Sainsbury's Salted British Butter 250g,Dairy & Bread,"Eggs, Butter & Margarine",Butter packs,British Butter,Salted,Sainsbury's,254,250g e,Contains: Milk,3062,745,0.6,82.2,0.6,1.5,0.6,<0.5,
1137637,1137637,JS British Semi Skim Milk 2 Pint 1.136L,Sainsburys,Sainsbury's British Fresh Semi Skimmed Milk 2 Pints/1.136L,Dairy & Bread,Milk & Cream,Fresh Milk,Milk,Semi Skimmed,Sainsbury's,1197,1.136l,Contains: Milk,208,50,4.8,1.8,4.8,0.11,3.6,<0.5,
357937,357937,JS British Semi Skim Milk 4 Pint 2.272L,Sainsburys,Sainsbury's British Fresh Semi Skimmed Milk 4 Pints/2.272L,Dairy & Bread,Milk & Cream,Fresh Milk,Milk,Semi Skimmed,Sainsbury's,2381,2.272l,Contains: Milk,208,50,4.8,1.8,4.8,0.11,3.6,<0.5,
6615175,1510256,Js British Single Cream 300ml,Sainsburys,Sainsbury's Fresh British Single Cream 300ml,Dairy & Bread,Milk & Cream,Fresh Cream,Cream,Fresh British Single,Sainsbury's,11,300ml,Contains: Milk,800,194,2.2,19.1,2.2,0.07,3.3,<0.5,
1137729,1137729,JS British Skimmed Milk 2 Pint 1.136L,Sainsburys,Sainsbury's British Fresh Skimmed Milk 2 Pints/1.136L,Dairy & Bread,Milk & Cream,Fresh Milk,Fresh Skimmed Milk,British,Sainsbury's,1191,1.136l,Contains: Milk,158,37,5,<0.5,5,0.12,3.6,<0.5,
425889,432993,JS British Spring sparkling water 2L,Sainsburys,,,,,,,,,,,,,,,,,,,
6512368,433129,JS British Spring sprkg water 6x500ml,Sainsburys,Sainsbury's Sparkling British Spring Water 6 x 500ml,Drinks,Water,Sparkling Water,Sparkling Spring Water,British,Sainsbury's,3259,6 x 500ml,,,,,,,,,,
425896,433006,JS British Spring water 2L,Sainsburys,,,,,,,,,,,,,,,,,,,
6696490,433105,JS British spring water 6x500ml S/C,Sainsburys,,,,,,,,,,,,,,,,,,,
8109372,461795,JS British Strawberries 400g,Sainsburys,Sainsbury's British Strawberries 400g,Fruit & Vegetables,Exotic Fruit,Berries & Currents,Strawberries,British,Sainsbury's,426,400g e,,,,,,,,,,
7572548,1848434,JS British Swede,Sainsburys,,,,,,,,,,,,,,,,,,,
1117011,1117011,JS British Unsalted Butter250G,Sainsburys,Sainsbury's Unsalted British Butter 250g,Dairy & Bread,"Eggs, Butter & Margarine",Butter packs,British Butter,Unsalted,Sainsbury's,253,250g e,Contains: Milk,3062,745,0.6,82.2,0.6,<0.01,0.6,<0.5,
1137613,1137613,JS British Whole Milk 2 Pint 1.136L,Sainsburys,Sainsbury's British Fresh Whole Milk 2 Pints/1.136L,Dairy & Bread,Milk & Cream,Fresh Milk,Whole Milk,British Fresh,Sainsbury's,1196,1.136l,Contains: Milk,277,66,4.7,3.7,4.7,0.11,3.5,<0.5,
7631795,109871,JS Broccoli & Cauliflower Florets 240g,Sainsburys,Sainsbury's Broccolli & Cauliflower 240g,Fruit & Vegetables,Core Vegetables,Ready to Cook Vegetables,Broccolli & Cauliflower,,Sainsbury's,243,240g e,,134,32,1.6,0.9,1.4,0.25,3,2.8,
7177402,1695977,JS Broccoli 160g,Sainsburys,Sainsbury's Broccoli 160g,Fruit & Vegetables,Core Vegetables,Broccoli,Broccoli,,Sainsbury's,165,160g e,,124,30,1.1,0.8,0.9,0.03,3.1,2.9,
7177522,1696103,JS Broccoli Corn Carrot & Sugarsnap 240g,Sainsburys,"Sainsbury's Broccoli, Carrot Babycorn & Sugarsnap Peas 240g",Fruit & Vegetables,Core Vegetables,Ready to Cook Vegetables,"Broccoli, Carrot Babycorn & Sugarsnap Peas",,Sainsbury's,243,240g e,,,,,,,,,,
584265,584265,"Js Broccoli, Tomato & Cheese Quiche 400g",Sainsburys,"Sainsbury's Broccoli, Tomato & Cheese Quiche 400g",Ready Made Foods,Quiches & Pizzas,Other Quiche/Pizza,Quiche,"Broccoli, Tomato & Cheese",Sainsbury's,,400g,"Contains: Eggs, Milk, Mustard, Wheat",968,232,19.1,14.3,3.1,0.39,6.1,1.3,
7501923,1796124,JS Brown Basmati 250g,Sainsburys,Sainsbury's Brown Basmati Rice 250g,Grocery,Rice & Pasta,Other Rice/Pasta,Rice,Brown Basmati,Sainsbury's,260,250g e,,562,133,27.6,1.2,<0.5,0.17,3.2,0.9,
7642090,120562,JS Brown Rice 250g,Sainsburys,Sainsbury's Brown Rice 250g,Ready Made Foods,Meals,Other,Brown Rice,,Sainsbury's,261,250g e,,720,171,32.2,2,<0.5,0.13,3.3,5.3,
7642453,120920,JS Brown Rice 500g,Sainsburys,Sainsbury's Brown Rice 500g,Grocery,Rice & Pasta,Rice,Brown Rice,,Sainsbury's,506,500g e,,,,,,,,,,
7532105,1814972,JS Brussel Sprouts conv 300g,Sainsburys,Sainsbury's Brussels Sprouts,Fruit & Vegetables,Core Vegetables,Brussel Sprouts,Brussels Sprouts,,Sainsbury's,302,,,210,50,3.9,1.4,2.9,0.02,3.5,4.1,
405768,405768,Js Brussels Pate 170g,Sainsburys,Sainsbury's Brussels Style Pâté 170g,Deli,Meat & Other Deli,Pate,Pâté,Brussels Style,Sainsbury's,195,170g e,"Contains: Eggs, Milk",1156,279,4.7,24.8,1.7,1.74,9.3,0.5,
7822497,254205,JS Brussels sprouts 400g,Sainsburys,Sainsbury's Brussels Sprouts 400g,Fruit & Vegetables,Core Vegetables,Brussel Sprouts,Brussels Sprouts,,Sainsbury's,422,400g e,,178,43,3.5,1.3,3,0.05,2.9,2.6,
7821759,253536,JS Butternut & Spinach Croquettes 225g,Sainsburys,Sainsbury's Butternut Squash & Spinach Croquettes 225g,Ready Made Foods,Meals,Other,Croquettes,Butternut Squash & Spinach,Sainsbury's,262,225g e,"Contains: Milk, Wheat",951,228,24.1,12.1,3.3,0.43,4,3.1,
6860373,1622355,JS Butternut Squash & Sweet Potato 300g,Sainsburys,Sainsbury's Inspired to Cook Diced Butternut & Sweet Potato 300g,Fruit & Vegetables,Core Vegetables,Ready to Cook Vegetables,Butternut & Sweet Potato,Diced,Sainsbury's,307,300g,,,,,,,,,,
8016571,392792,JS Caesar Dressing 150ml,Sainsburys,Sainsbury's Caesar Dressing 150ml,Grocery,Sauces & Condiments,Other Dressings,Caesar Dressing,,Sainsbury's,165,150ml,"Contains: Eggs, Milk",1914,464,6.1,47.6,3.1,1.08,2.7,<0.5,
6005026,1016093,JS CARROT & CORIANDER SOUP 600G,Sainsburys,Sainsbury's Carrot & Coriander Soup 600g,Grocery,Soups,Ready to Serve Soup,Soup,Carrot & Coriander,Sainsbury's,637,600g,,,,,,,,,,
8053880,420020,JS Carrot & Houmous 100g,Sainsburys,On the Go Carrot & Houmous Meal Deal Snack 100g,Ready Made Foods,Snacks,Other Snacks,Carrot & Houmous,,On the Go,114,100g e,Contains: Sesame,383,92,6.3,5.6,3.1,0.37,2.6,3,
