canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
5947,Delicatessen Fine Eating Pizza Pepperoni 90 G,Delicatessen Fine Eating,Pizza Pepperoni,90 g,,1
5948,Delicatessen Fine Eating Swedish Style Meatball 200 G,Delicatessen Fine Eating,Swedish Style Meatball,200 g,,1
5949,Delicatessen Fine Eating Frankfurter 10 Units,Delicatessen Fine Eating,Frankfurter,10 units,,1
5950,Delicatessen Fine Eating Chorizo 1 Unit,Delicatessen Fine Eating,Chorizo,1 unit,,1
5951,Delicatessen Fine Eating Chorizo Slice 70 G,Delicatessen Fine Eating,Chorizo Slice,70 g,,1
5952,Delicatessen Fine Eating Cooked Ham 90 G,Delicatessen Fine Eating,Cooked Ham,90 g,,1
5953,Delicatessen Fine Eating Chicken Skewer 150 G,Delicatessen Fine Eating,Chicken Skewer,150 g,,1
5954,Delicatessen Fine Eating Chicken Tikka Bites 200 G,Delicatessen Fine Eating,Chicken Tikka Bites,200 g,,1
5955,Delicatessen Fine Eating Chicken Bites 200 G,Delicatessen Fine Eating,Chicken Bites,200 g,,1
5956,Delicatessen Fine Eating Chicke Chorizo Bites 200 G,Delicatessen Fine Eating,Chicke Chorizo Bites,200 g,,1
5957,Delicatessen Fine Eating Chorizo 70 G,Delicatessen Fine Eating,Chorizo,70 g,,1
5958,Delicatessen Fine Eating Diced Chorizo 90 G,Delicatessen Fine Eating,Diced Chorizo,90 g,,1
5959,Delicatessen Fine Eating Frankfurter 250 G,Delicatessen Fine Eating,Frankfurter,250 g,,1
5960,Delicatessen Fine Eating Frankfurter 300 G,Delicatessen Fine Eating,Frankfurter,300 g,,1
5961,Delicatessen Fine Eating Frikadellen 200 G,Delicatessen Fine Eating,Frikadellen,200 g,,1
5962,Delicatessen Fine Eating Garlic Sausage 90 G,Delicatessen Fine Eating,Garlic Sausage,90 g,,1
5963,Delicatessen Fine Eating German Salami Slice 90 G,Delicatessen Fine Eating,German Salami Slice,90 g,,1
5964,Delicatessen Fine Eating Grilled Chicken 90 G,Delicatessen Fine Eating,Grilled Chicken,90 g,,1
5965,Delicatessen Fine Eating Honey Roast Ham 200 G,Delicatessen Fine Eating,Honey Roast Ham,200 g,,1
5966,Delicatessen Fine Eating Hot Spicy Meatball 200 G,Delicatessen Fine Eating,Hot Spicy Meatball,200 g,,1
5967,Delicatessen Fine Eating Koktail Frankfurter  200 G,Delicatessen Fine Eating,Koktail Frankfurter,200 g,,1
5968,Delicatessen Fine Eating Hot Spicy Pepperoni Snack  90 G,Delicatessen Fine Eating,Hot Spicy Pepperoni Snack,90 g,,1
